participant_id,best_nll,AIC,BIC
1,226.6591280431021,453.3182560862042,453.3182560862042
2,221.11395059862255,442.2279011972451,442.2279011972451
3,167.0484705149468,334.0969410298936,334.0969410298936
4,169.8210592371866,339.6421184743732,339.6421184743732
5,223.1933921403024,446.3867842806048,446.3867842806048
6,223.1933921403024,446.3867842806048,446.3867842806048
7,171.2073535983065,342.414707196613,342.414707196613
8,222.50024495974245,445.0004899194849,445.0004899194849
9,169.12791205662666,338.2558241132533,338.2558241132533
10,169.8210592371866,339.6421184743732,339.6421184743732
11,228.73856958478194,457.4771391695639,457.4771391695639
12,169.12791205662666,338.2558241132533,338.2558241132533
13,167.74161769550676,335.4832353910135,335.4832353910135
14,160.11699870934737,320.23399741869474,320.23399741869474
15,225.96598086254215,451.9319617250843,451.9319617250843
16,169.12791205662666,338.2558241132533,338.2558241132533
17,225.2728336819822,450.5456673639644,450.5456673639644
18,226.6591280431021,453.3182560862042,453.3182560862042
19,169.8210592371866,339.6421184743732,339.6421184743732
20,172.59364795942636,345.1872959188527,345.1872959188527
21,226.6591280431021,453.3182560862042,453.3182560862042
22,224.57968650142226,449.1593730028445,449.1593730028445
23,168.4347648760667,336.8695297521334,336.8695297521334
24,223.88653932086234,447.7730786417247,447.7730786417247
25,225.96598086254215,451.9319617250843,451.9319617250843
26,223.1933921403024,446.3867842806048,446.3867842806048
27,226.6591280431021,453.3182560862042,453.3182560862042
28,223.88653932086234,447.7730786417247,447.7730786417247
29,164.96902897326697,329.93805794653395,329.93805794653395
30,168.4347648760667,336.8695297521334,336.8695297521334
31,220.4208034180626,440.8416068361252,440.8416068361252
32,226.6591280431021,453.3182560862042,453.3182560862042
33,223.88653932086234,447.7730786417247,447.7730786417247
34,223.88653932086234,447.7730786417247,447.7730786417247
35,170.51420641774655,341.0284128354931,341.0284128354931
36,228.73856958478194,457.4771391695639,457.4771391695639
37,223.1933921403024,446.3867842806048,446.3867842806048
38,167.0484705149468,334.0969410298936,334.0969410298936
39,214.87562597358303,429.75125194716605,429.75125194716605
40,227.35227522366205,454.7045504473241,454.7045504473241
41,166.35532333438687,332.71064666877373,332.71064666877373
42,225.2728336819822,450.5456673639644,450.5456673639644
43,226.6591280431021,453.3182560862042,453.3182560862042
44,225.96598086254215,451.9319617250843,451.9319617250843
45,226.6591280431021,453.3182560862042,453.3182560862042
46,229.4317167653419,458.8634335306838,458.8634335306838
47,223.88653932086234,447.7730786417247,447.7730786417247
48,228.73856958478194,457.4771391695639,457.4771391695639
49,170.51420641774655,341.0284128354931,341.0284128354931
50,219.72765623750266,439.4553124750053,439.4553124750053
51,228.73856958478194,457.4771391695639,457.4771391695639
52,169.8210592371866,339.6421184743732,339.6421184743732
53,167.0484705149468,334.0969410298936,334.0969410298936
54,169.12791205662666,338.2558241132533,338.2558241132533
55,224.57968650142226,449.1593730028445,449.1593730028445
56,168.4347648760667,336.8695297521334,336.8695297521334
57,224.57968650142226,449.1593730028445,449.1593730028445
58,162.88958743158713,325.77917486317426,325.77917486317426
59,168.4347648760667,336.8695297521334,336.8695297521334
60,230.81801112646178,461.63602225292357,461.63602225292357
61,226.6591280431021,453.3182560862042,453.3182560862042
62,225.2728336819822,450.5456673639644,450.5456673639644
63,170.51420641774655,341.0284128354931,341.0284128354931
64,225.96598086254215,451.9319617250843,451.9319617250843
65,222.50024495974245,445.0004899194849,445.0004899194849
66,225.2728336819822,450.5456673639644,450.5456673639644
67,223.88653932086234,447.7730786417247,447.7730786417247
68,169.12791205662666,338.2558241132533,338.2558241132533
69,225.96598086254215,451.9319617250843,451.9319617250843
70,225.2728336819822,450.5456673639644,450.5456673639644
71,221.8070977791825,443.614195558365,443.614195558365
72,223.88653932086234,447.7730786417247,447.7730786417247
73,225.2728336819822,450.5456673639644,450.5456673639644
74,225.96598086254215,451.9319617250843,451.9319617250843
75,225.96598086254215,451.9319617250843,451.9319617250843
76,169.8210592371866,339.6421184743732,339.6421184743732
77,227.35227522366205,454.7045504473241,454.7045504473241
78,223.1933921403024,446.3867842806048,446.3867842806048
79,225.96598086254215,451.9319617250843,451.9319617250843
80,167.0484705149468,334.0969410298936,334.0969410298936
81,170.51420641774655,341.0284128354931,341.0284128354931
82,220.4208034180626,440.8416068361252,440.8416068361252
83,167.0484705149468,334.0969410298936,334.0969410298936
84,169.8210592371866,339.6421184743732,339.6421184743732
85,171.2073535983065,342.414707196613,342.414707196613
86,167.74161769550676,335.4832353910135,335.4832353910135
87,222.50024495974245,445.0004899194849,445.0004899194849
88,162.88958743158713,325.77917486317426,325.77917486317426
89,160.11699870934737,320.23399741869474,320.23399741869474
90,226.6591280431021,453.3182560862042,453.3182560862042
91,222.50024495974245,445.0004899194849,445.0004899194849
92,168.4347648760667,336.8695297521334,336.8695297521334
93,171.2073535983065,342.414707196613,342.414707196613
94,228.045422404222,456.090844808444,456.090844808444
95,201.01268236238414,402.0253647247683,402.0253647247683
96,169.8210592371866,339.6421184743732,339.6421184743732
97,225.2728336819822,450.5456673639644,450.5456673639644
98,224.57968650142226,449.1593730028445,449.1593730028445
99,229.4317167653419,458.8634335306838,458.8634335306838
100,168.4347648760667,336.8695297521334,336.8695297521334
101,230.12486394590184,460.2497278918037,460.2497278918037
102,219.72765623750266,439.4553124750053,439.4553124750053
103,167.0484705149468,334.0969410298936,334.0969410298936
104,164.27588179270703,328.55176358541405,328.55176358541405
105,225.2728336819822,450.5456673639644,450.5456673639644
106,164.96902897326697,329.93805794653395,329.93805794653395
