LEDIS1	Code = 27	
SubNo	Group(1=OptHighReward;2=OptLowReward)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	OutcomeCond(0=inaccurate;1=lowReward;2=highReward)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
27	1	1	0	1	1	43	53	5	3	5	1	1	NaN	0	0	8287	0	NaN
27	1	2	0	1	2	48	12	3	2	2	2	1	NaN	0	0	4298	1	2
27	1	3	0	2	1	6	16	5	2	2	2	1	NaN	0	0	4860	0	1
27	1	4	0	2	2	46	31	4	5	5	2	1	NaN	0	0	7010	0	1
27	1	5	0	2	3	48	24	2	3	3	2	1	NaN	0	0	7615	0	1
27	1	6	0	2	4	34	24	4	3	3	2	1	NaN	0	0	7117	0	1
27	1	7	0	1	1	21	40	2	4	2	1	1	NaN	0	0	6239	0	2
27	1	8	0	1	2	37	32	2	5	2	1	1	NaN	0	0	11261	0	1
27	1	9	0	1	3	34	29	5	2	2	2	1	NaN	0	0	16193	1	2
27	1	10	0	1	4	47	9	4	2	2	2	1	NaN	0	0	4113	1	1
27	1	1	1	1	1	16	23	2	3	3	2	1	2	3.700000e-01	3.700000e-01	2583	1	NaN
27	1	2	1	1	2	51	54	2	4	4	2	1	2	4.400000e-01	8.100000e-01	4643	1	1
27	1	3	1	2	1	40	54	3	5	3	1	1	2	1.700000e-01	9.800000e-01	3919	1	2
27	1	4	1	2	2	11	12	2	5	2	1	1	2	6.300000e-01	1.610000e+00	2876	1	1
27	1	5	1	2	3	8	28	4	5	4	1	1	2	2.400000e-01	1.850000e+00	4782	1	1
27	1	6	1	2	4	18	2	3	5	3	1	1	2	1.010000e+00	2.860000e+00	2536	1	1
27	1	7	1	1	1	7	54	5	3	3	2	1	2	1.600000e-01	3.020000e+00	4550	1	2
27	1	8	1	1	2	49	24	2	3	3	2	1	2	4.900000e-01	3.510000e+00	3241	1	1
27	1	9	1	1	3	18	1	2	4	4	2	1	2	5.000000e-01	4.010000e+00	1412	1	1
27	1	10	1	1	4	30	53	2	3	3	2	1	2	3.800000e-01	4.390000e+00	4769	1	1
27	1	11	1	2	1	39	15	4	3	4	1	1	2	6.900000e-01	5.080000e+00	3897	1	2
27	1	12	1	2	2	43	54	2	4	2	1	1	2	3.800000e-01	5.460000e+00	4103	1	1
27	1	13	1	2	3	52	11	3	2	3	1	1	2	2.000000e-02	5.480000e+00	6007	1	1
27	1	14	1	2	4	28	29	5	2	5	1	1	2	6.100000e-01	6.090000e+00	2879	1	1
27	1	15	1	2	5	10	51	5	3	5	1	1	2	3.400000e-01	6.430000e+00	4742	1	1
27	1	16	1	2	6	4	3	3	2	4	0	0	0	0	6.430000e+00	3197	NaN	NaN
27	1	17	1	1	1	4	41	2	3	2	1	1	1	3.900000e-01	6.820000e+00	2245	0	NaN
27	1	18	1	2	1	6	51	3	4	3	1	1	2	2.000000e-02	6.840000e+00	3079	1	1
27	1	19	1	2	2	9	31	2	4	3	0	0	0	0	6.840000e+00	1311	NaN	NaN
27	1	20	1	2	3	16	26	2	4	2	1	1	2	3.100000e-01	7.150000e+00	2272	1	NaN
27	1	21	1	2	4	28	37	5	4	5	1	1	2	5.800000e-01	7.730000e+00	2453	1	1
27	1	22	1	2	5	49	48	5	3	5	1	1	2	4.500000e-01	8.180000e+00	5137	1	1
27	1	23	1	1	1	31	53	5	2	2	2	1	2	1	9.180000e+00	3727	1	2
27	1	24	1	1	2	41	51	4	5	5	2	1	2	3.800000e-01	9.560000e+00	4224	1	1
27	1	25	1	1	3	23	22	5	2	5	1	1	1	3.200000e-01	9.880000e+00	2728	0	2
27	1	26	1	1	4	53	25	5	4	4	2	1	2	5.000000e-01	1.038000e+01	2013	1	2
27	1	27	1	1	5	26	44	2	5	5	2	1	2	5.300000e-01	1.091000e+01	4927	1	1
27	1	28	1	1	6	39	36	3	5	5	2	1	2	6.500000e-01	1.156000e+01	3198	1	1
27	1	29	1	2	1	49	36	5	3	5	1	1	2	7.400000e-01	1.230000e+01	5791	1	2
27	1	30	1	1	1	14	5	4	3	4	1	1	1	6.500000e-01	1.295000e+01	4641	0	1
27	1	31	1	1	2	35	3	4	5	5	2	1	2	2.400000e-01	1.319000e+01	4720	1	2
27	1	32	1	1	3	32	21	2	3	4	0	0	0	0	1.319000e+01	2855	NaN	NaN
27	1	33	1	2	1	3	25	3	5	3	1	1	2	6.200000e-01	1.381000e+01	5727	1	NaN
27	1	34	1	2	2	16	39	5	2	5	1	1	2	4.900000e-01	1.430000e+01	2504	1	1
27	1	35	1	2	3	13	34	2	4	2	1	1	2	2.300000e-01	1.453000e+01	2920	1	1
27	1	36	1	1	1	9	50	5	2	2	2	1	2	1.510000e+00	1.604000e+01	3865	1	2
27	1	37	1	1	2	26	2	3	2	2	2	1	2	3.800000e-01	1.642000e+01	3812	1	1
27	1	38	1	1	3	3	46	3	2	2	2	1	2	1.330000e+00	1.775000e+01	5048	1	1
27	1	39	1	1	4	32	47	3	5	5	2	1	2	6.500000e-01	1.840000e+01	3400	1	1
27	1	40	1	1	5	41	14	2	5	5	2	1	2	7.900000e-01	1.919000e+01	4871	1	1
27	1	41	1	2	1	38	44	5	4	5	1	1	2	1.100000e+00	2.029000e+01	3575	1	2
27	1	42	1	2	2	47	40	4	5	4	1	1	2	8.000000e-02	2.037000e+01	4441	1	1
27	1	43	1	1	1	51	52	3	4	3	1	1	1	5.200000e-01	2.089000e+01	3783	0	1
27	1	44	1	1	2	21	52	4	2	3	0	0	0	0	2.089000e+01	3880	NaN	NaN
27	1	45	1	2	1	36	37	3	5	3	1	1	2	4.300000e-01	2.132000e+01	2891	1	NaN
27	1	46	1	2	2	40	15	5	4	5	1	1	2	1.060000e+00	2.238000e+01	3696	1	1
27	1	47	1	2	3	52	40	2	5	2	1	1	2	4.900000e-01	2.287000e+01	4563	1	1
27	1	48	1	2	4	36	38	4	2	4	1	1	2	7.500000e-01	2.362000e+01	3832	1	1
27	1	49	1	2	5	38	9	5	2	5	1	1	2	1.600000e-01	2.378000e+01	3977	1	1
27	1	50	1	2	6	53	42	2	5	2	1	1	2	1.900000e-01	2.397000e+01	3038	1	1
27	1	51	1	1	1	49	48	5	4	5	1	1	1	5.400000e-01	2.451000e+01	3737	0	1
27	1	52	1	1	2	32	4	5	4	4	2	1	2	5.500000e-01	2.506000e+01	3511	1	2
27	1	53	1	1	3	6	12	5	3	5	1	1	1	7.200000e-01	2.578000e+01	1943	0	2
27	1	54	1	1	4	17	20	3	4	4	2	1	2	3.700000e-01	2.615000e+01	5321	1	2
27	1	55	1	1	5	29	26	4	3	4	1	1	1	7.600000e-01	2.691000e+01	2919	0	2
27	1	56	1	2	1	54	33	4	2	4	1	1	2	1.210000e+00	2.812000e+01	1942	1	1
27	1	57	1	2	2	6	25	4	3	4	1	1	2	2.300000e-01	2.835000e+01	1776	1	1
27	1	58	1	1	1	3	51	2	5	5	2	1	2	4.100000e-01	2.876000e+01	2826	1	2
27	1	59	1	1	2	4	6	3	5	5	2	1	2	5.000000e-01	2.926000e+01	2618	1	1
27	1	60	1	1	3	33	54	4	3	4	1	1	1	6.000000e-01	2.986000e+01	4212	0	2
27	1	61	1	1	4	46	15	3	4	4	2	1	2	1.600000e-01	3.002000e+01	6986	1	2
27	1	62	1	1	5	2	3	4	5	5	2	1	2	1.600000e-01	3.018000e+01	2369	1	1
27	1	63	1	1	6	2	34	3	4	4	2	1	2	4.100000e-01	3.059000e+01	3368	1	1
27	1	64	1	2	1	50	2	5	4	4	2	1	1	5.000000e-01	3.109000e+01	2448	0	1
27	1	65	1	2	2	1	44	4	3	4	1	1	2	6.300000e-01	3.172000e+01	3400	1	2
27	1	66	1	2	3	42	33	2	3	2	1	1	2	1	3.272000e+01	2464	1	1
27	1	67	1	2	4	40	2	2	4	2	1	1	2	7.900000e-01	3.351000e+01	2605	1	1
27	1	68	1	1	1	53	49	4	2	2	2	1	2	8.300000e-01	3.434000e+01	4708	1	2
27	1	69	1	2	1	22	12	3	4	3	1	1	2	8.800000e-01	3.522000e+01	5098	1	2
27	1	70	1	2	2	17	16	5	3	5	1	1	2	8.000000e-01	3.602000e+01	3881	1	1
27	1	71	1	2	3	20	34	4	2	4	1	1	2	1.120000e+00	3.714000e+01	3154	1	1
27	1	72	1	2	4	49	29	3	2	3	1	1	2	6.500000e-01	3.779000e+01	4657	1	1
27	1	73	1	2	5	43	30	4	5	4	1	1	2	1.800000e-01	3.797000e+01	3875	1	1
27	1	74	1	1	1	23	20	2	3	3	2	1	2	4.300000e-01	3.840000e+01	7153	1	2
27	1	75	1	1	2	51	12	3	4	4	2	1	2	7.200000e-01	3.912000e+01	2821	1	1
27	1	76	1	1	3	10	22	3	2	2	2	1	2	5.600000e-01	3.968000e+01	3841	1	1
27	1	77	1	1	4	49	44	5	2	2	2	1	2	2.200000e-01	3.990000e+01	4670	1	1
27	1	78	1	2	1	25	32	5	3	5	1	1	2	1.900000e-01	4.009000e+01	2758	1	2
27	1	79	1	1	1	52	9	4	2	2	2	1	2	4.800000e-01	4.057000e+01	1373	1	2
27	1	80	1	1	2	30	43	4	5	5	2	1	2	6.800000e-01	4.125000e+01	6302	1	1
27	1	81	1	1	3	36	40	4	2	2	2	1	2	3.400000e-01	4.159000e+01	5568	1	1
27	1	82	1	2	1	44	13	2	5	2	1	1	2	2.600000e-01	4.185000e+01	3477	1	2
27	1	83	1	2	2	40	29	3	2	3	1	1	2	4.800000e-01	4.233000e+01	3591	1	1
27	1	84	1	2	3	26	11	4	3	4	1	1	2	4.200000e-01	4.275000e+01	4990	1	1
27	1	1	2	1	1	40	30	3	5	3	1	1	1	3.900000e-01	4.314000e+01	5296	0	NaN
