LEDIS1	Code = 62	
SubNo	Group(1=OptHighReward;2=OptLowReward)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	OutcomeCond(0=inaccurate;1=lowReward;2=highReward)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
62	2	1	0	2	1	35	53	4	3	3	2	1	NaN	0	0	7825	0	NaN
62	2	2	0	2	2	37	16	2	3	2	1	1	NaN	0	0	2133	1	2
62	2	3	0	2	3	14	30	4	2	5	0	0	NaN	0	0	11069	NaN	NaN
62	2	4	0	2	4	11	10	2	4	4	2	1	NaN	0	0	10376	0	NaN
62	2	5	0	2	5	40	37	4	3	4	1	1	NaN	0	0	6184	1	2
62	2	6	0	2	6	39	38	2	5	5	2	1	NaN	0	0	5503	0	2
62	2	7	0	1	1	6	29	2	4	2	1	1	NaN	0	0	2777	0	2
62	2	8	0	1	2	41	4	5	4	4	2	1	NaN	0	0	8883	1	2
62	2	9	0	1	3	42	28	4	2	2	2	1	NaN	0	0	4531	1	1
62	2	10	0	1	4	30	28	4	3	4	1	1	NaN	0	0	2331	0	2
62	2	1	1	2	1	16	21	2	5	5	2	1	2	3.000000e-01	3.000000e-01	2480	0	NaN
62	2	2	1	2	2	43	36	2	3	3	2	1	2	5.600000e-01	8.600000e-01	3905	0	1
62	2	3	1	2	3	6	46	2	4	2	1	1	1	5.300000e-01	1.390000e+00	4992	1	2
62	2	4	1	2	4	40	21	4	2	4	1	1	1	3.600000e-01	1.750000e+00	2328	1	1
62	2	5	1	2	5	35	48	4	5	4	1	1	1	6.400000e-01	2.390000e+00	1479	1	1
62	2	6	1	2	6	4	45	2	3	2	1	1	1	6.400000e-01	3.030000e+00	2065	1	1
62	2	7	1	1	1	23	17	4	5	4	1	1	2	4.800000e-01	3.510000e+00	1353	0	1
62	2	8	1	1	2	14	10	5	4	4	2	1	1	5.400000e-01	4.050000e+00	5058	1	2
62	2	9	1	1	3	50	46	5	3	5	1	1	2	5.800000e-01	4.630000e+00	1808	0	2
62	2	10	1	1	4	12	33	2	4	2	1	1	2	4.100000e-01	5.040000e+00	1719	0	1
62	2	11	1	1	5	52	9	3	2	3	1	1	2	8.400000e-01	5.880000e+00	4369	0	1
62	2	12	1	1	6	8	28	4	3	4	1	1	2	2.200000e-01	6.100000e+00	5114	0	1
62	2	13	1	2	1	52	16	3	4	4	2	1	2	1.530000e+00	7.630000e+00	1387	0	2
62	2	14	1	2	2	20	16	5	4	4	2	1	2	4.400000e-01	8.070000e+00	785	0	1
62	2	15	1	2	3	36	13	5	4	4	2	1	2	5.500000e-01	8.620000e+00	5154	0	1
62	2	16	1	1	1	8	4	5	3	3	2	1	1	6.300000e-01	9.250000e+00	9075	1	1
62	2	17	1	1	2	6	12	4	2	2	2	1	1	5.100000e-01	9.760000e+00	1666	1	1
62	2	18	1	1	3	49	36	4	5	4	1	1	2	4.500000e-01	1.021000e+01	1872	0	2
62	2	19	1	1	4	46	53	2	5	2	1	1	2	1.100000e-01	1.032000e+01	2840	0	1
62	2	20	1	2	1	21	36	3	2	2	2	1	2	6.400000e-01	1.096000e+01	5642	0	2
62	2	21	1	2	2	19	20	5	2	5	1	1	1	3.400000e-01	1.130000e+01	1642	1	2
62	2	22	1	2	3	4	7	5	4	5	1	1	1	5.800000e-01	1.188000e+01	1110	1	1
62	2	23	1	2	4	8	35	3	4	3	1	1	1	6.900000e-01	1.257000e+01	4715	1	1
62	2	24	1	1	1	13	41	4	5	4	1	1	2	1.700000e-01	1.274000e+01	4913	0	1
62	2	25	1	1	2	16	50	5	3	5	1	1	2	9.000000e-01	1.364000e+01	3034	0	1
62	2	26	1	1	3	53	32	3	5	3	1	1	2	1.090000e+00	1.473000e+01	4514	0	1
62	2	27	1	2	1	52	53	2	5	2	1	1	1	3.100000e-01	1.504000e+01	1146	1	1
62	2	28	1	2	2	9	29	4	2	2	2	1	2	7.700000e-01	1.581000e+01	1618	0	2
62	2	29	1	2	3	11	14	4	5	5	2	1	2	3.100000e-01	1.612000e+01	1689	0	1
62	2	30	1	2	4	7	13	5	2	2	2	1	2	8.300000e-01	1.695000e+01	849	0	1
62	2	31	1	2	5	21	47	4	5	4	1	1	1	6.000000e-01	1.755000e+01	3618	1	2
62	2	32	1	1	1	4	12	3	5	3	1	1	2	8.400000e-01	1.839000e+01	2954	0	1
62	2	33	1	2	1	26	46	2	5	5	2	1	2	1.110000e+00	1.950000e+01	3506	0	2
62	2	34	1	2	2	13	43	3	5	3	1	1	1	5.800000e-01	2.008000e+01	4338	1	2
62	2	35	1	1	1	51	45	3	2	3	1	1	2	1.060000e+00	2.114000e+01	3562	0	1
62	2	36	1	1	2	53	30	4	2	2	2	1	1	3.600000e-01	2.150000e+01	3450	1	2
62	2	37	1	2	1	17	34	3	4	3	1	1	1	5.000000e-01	2.200000e+01	1666	1	2
62	2	38	1	1	1	22	24	3	5	5	2	1	1	4.800000e-01	2.248000e+01	5354	1	2
62	2	39	1	1	2	18	40	3	4	4	2	1	1	3.100000e-01	2.279000e+01	2097	1	1
62	2	40	1	1	3	38	16	3	4	3	1	1	2	6.200000e-01	2.341000e+01	2664	0	2
62	2	41	1	1	4	38	24	5	4	5	1	1	2	0	2.341000e+01	1657	0	1
62	2	42	1	1	5	36	39	2	4	4	2	1	1	6.700000e-01	2.408000e+01	1384	1	2
62	2	43	1	2	1	33	37	5	2	2	2	1	2	1.200000e-01	2.420000e+01	1314	0	1
62	2	44	1	1	1	44	18	2	3	2	1	1	2	7.500000e-01	2.495000e+01	5835	0	2
62	2	45	1	1	2	28	4	5	3	5	1	1	2	6.000000e-01	2.555000e+01	3822	0	1
62	2	46	1	1	3	26	54	2	3	2	1	1	2	7.000000e-02	2.562000e+01	3602	0	1
62	2	47	1	1	4	7	11	4	2	4	1	1	2	4.700000e-01	2.609000e+01	1729	0	1
62	2	48	1	1	5	50	17	3	4	3	1	1	2	2.000000e-02	2.611000e+01	2399	0	1
62	2	49	1	1	6	49	9	3	5	3	1	1	2	7.900000e-01	2.690000e+01	4481	0	1
62	2	50	1	2	1	41	34	4	2	4	1	1	1	5.600000e-01	2.746000e+01	3178	1	1
62	2	51	1	2	2	24	49	2	3	2	1	1	1	7.000000e-01	2.816000e+01	2506	1	1
62	2	52	1	2	3	37	19	5	3	3	2	1	2	7.800000e-01	2.894000e+01	9328	0	2
62	2	53	1	1	1	31	4	5	4	4	2	1	1	4.200000e-01	2.936000e+01	2586	1	1
62	2	54	1	1	2	30	40	2	3	3	2	1	1	5.400000e-01	2.990000e+01	2714	1	1
62	2	55	1	1	3	40	39	2	5	5	2	1	1	3.800000e-01	3.028000e+01	3634	1	1
62	2	56	1	1	4	36	37	5	2	2	2	1	1	5.000000e-01	3.078000e+01	1306	1	1
62	2	57	1	1	5	54	2	2	4	4	2	1	1	4.900000e-01	3.127000e+01	3171	1	1
62	2	58	1	2	1	37	32	3	2	3	1	1	1	5.000000e-01	3.177000e+01	3274	1	2
62	2	59	1	2	2	44	50	2	5	2	1	1	1	4.600000e-01	3.223000e+01	3089	1	1
62	2	60	1	2	3	52	42	4	3	4	1	1	1	6.300000e-01	3.286000e+01	3300	1	1
62	2	61	1	2	4	18	44	4	3	4	1	1	1	2.800000e-01	3.314000e+01	2074	1	1
62	2	62	1	2	5	15	40	2	4	2	1	1	1	5.500000e-01	3.369000e+01	1867	1	1
62	2	63	1	1	1	28	5	5	2	2	2	1	1	6.100000e-01	3.430000e+01	3114	1	2
62	2	64	1	1	2	48	21	3	2	2	2	1	1	5.900000e-01	3.489000e+01	1217	1	1
62	2	65	1	1	3	24	19	4	3	3	2	1	1	5.700000e-01	3.546000e+01	1392	1	1
62	2	66	1	2	1	6	43	3	2	3	1	1	1	5.000000e-01	3.596000e+01	3451	1	2
62	2	67	1	2	2	1	13	5	2	5	1	1	1	5.800000e-01	3.654000e+01	2748	1	1
62	2	68	1	2	3	31	36	4	5	4	1	1	1	5.700000e-01	3.711000e+01	2295	1	1
62	2	69	1	2	4	12	18	5	3	5	1	1	1	4.700000e-01	3.758000e+01	4186	1	1
62	2	70	1	2	5	28	48	3	4	4	2	1	2	3.200000e-01	3.790000e+01	1226	0	2
62	2	71	1	2	6	31	18	4	3	4	1	1	1	4.700000e-01	3.837000e+01	3488	1	2
62	2	72	1	1	1	27	11	3	2	2	2	1	1	3.300000e-01	3.870000e+01	1331	1	2
62	2	73	1	1	2	28	46	4	2	2	2	1	1	4.700000e-01	3.917000e+01	1706	1	1
62	2	74	1	2	1	52	47	2	4	2	1	1	1	5.100000e-01	3.968000e+01	3042	1	2
62	2	75	1	2	2	13	36	5	2	5	1	1	1	5.400000e-01	4.022000e+01	4513	1	1
62	2	76	1	1	1	5	45	5	4	4	2	1	1	6.700000e-01	4.089000e+01	3426	1	2
62	2	77	1	2	1	7	14	3	5	3	1	1	1	4.600000e-01	4.135000e+01	2314	1	2
62	2	78	1	2	2	35	22	2	3	2	1	1	1	5.700000e-01	4.192000e+01	2633	1	1
62	2	79	1	2	3	7	20	4	3	4	1	1	1	5.900000e-01	4.251000e+01	2410	1	1
62	2	80	1	2	4	3	6	3	5	3	1	1	1	6.100000e-01	4.312000e+01	2161	1	1
62	2	81	1	1	1	16	12	4	3	4	1	1	2	3.000000e-02	4.315000e+01	2122	0	1
62	2	82	1	1	2	44	31	5	3	3	2	1	1	5.200000e-01	4.367000e+01	2593	1	2
62	2	83	1	1	3	45	15	2	4	4	2	1	1	5.300000e-01	4.420000e+01	1985	1	1
62	2	84	1	1	4	5	23	2	5	2	1	1	2	3.000000e-02	4.423000e+01	1842	0	2
62	2	1	2	1	1	49	13	4	5	5	2	1	1	4.100000e-01	4.464000e+01	9945	1	NaN
62	2	2	2	2	1	43	22	3	4	4	2	1	2	1.010000e+00	4.565000e+01	5663	0	1
62	2	3	2	1	1	54	27	4	2	2	2	1	1	4.800000e-01	4.613000e+01	1307	1	1
62	2	4	2	1	2	40	13	4	3	4	1	1	2	6.800000e-01	4.681000e+01	3072	0	2
62	2	5	2	1	3	16	9	4	5	4	1	1	2	5.400000e-01	4.735000e+01	929	0	1
62	2	6	2	2	1	40	37	4	2	2	2	1	2	2.000000e-01	4.755000e+01	1538	0	2
62	2	7	2	2	2	42	13	4	5	4	1	1	1	4.300000e-01	4.798000e+01	3312	1	2
62	2	8	2	1	1	6	10	2	5	2	1	1	2	7.100000e-01	4.869000e+01	1017	0	1
62	2	9	2	1	2	6	34	2	3	2	1	1	2	5.000000e-02	4.874000e+01	825	0	1
62	2	10	2	2	1	54	16	2	4	2	1	1	1	5.900000e-01	4.933000e+01	2627	1	1
62	2	11	2	2	2	9	13	4	5	5	2	1	2	7.700000e-01	5.010000e+01	6809	0	2
62	2	12	2	2	3	50	53	5	4	4	2	1	2	1.100000e-01	5.021000e+01	2073	0	1
62	2	13	2	2	4	8	11	4	5	5	2	1	2	3.700000e-01	5.058000e+01	1560	0	1
62	2	14	2	1	1	2	47	3	5	3	1	1	2	9.600000e-01	5.154000e+01	2130	0	2
