participant_id,best_initial_guess,best_parameters,best_nll,AIC,BIC
1,"[1.4156287146620832, 0.49041561284999846, 0.8869033299070262, 3.3265963083148242]",[1.04258183e+00 2.03208000e-02 1.00000000e-04 2.64384550e+00],67.6535502826864,143.3071005653728,157.26285146999953
2,"[2.56560249471816, 0.2803810432225329, 0.2867731973762533, 3.5493647397510095]",[1.47600058 0.06294795 0.9999     1.92409608],43.95714594279917,95.91429188559835,109.9356180293278
3,"[3.294960043153632, 0.040682227565624444, 0.7705003529243686, 4.328064331810558]",[9.28141913e-01 4.50230886e-02 1.67867439e-04 1.00000000e-04],169.52697409543396,347.0539481908679,361.1076631755278
4,"[1.74984987852704, 0.44349560884103134, 0.9347734705189547, 3.317297140922579]",[0.19343425 0.39457295 0.4549934  3.49149815],168.15922490692748,344.31844981385495,358.37216479851486
5,"[3.0558889553212922, 0.8735904158202717, 0.4950378248014505, 3.870581544898196]",[0.0001 0.0001 0.0001 0.0001],169.82106097890076,347.6421219578015,361.64715479998046
6,"[1.7871479343741619, 0.6689167734616278, 0.8989025461653326, 2.7532656486278544]",[7.37771281e-01 1.68690488e-02 1.00000000e-04 2.28738924e+00],102.88980497902101,213.77960995804202,227.80093610177147
7,"[0.6890671686174783, 0.469096574891194, 0.6751536865048109, 2.9104539699475933]",[0.50209356 0.00611538 0.92878463 2.09246853],154.30553647030848,316.61107294061696,330.6486262871289
8,"[3.0010968999002268, 0.6633475637144401, 0.4911750343705923, 0.9780203798882648]",[0.0001 0.0001 0.0001 0.0001],169.82106169292595,347.6421233858519,361.64715622803084
9,"[0.27194086334253736, 0.46727622690695964, 0.9905366118707363, 2.7484717340750087]",[1.00000000e-04 8.39226315e-01 1.00000000e-04 4.96923071e+00],168.43797302064553,344.87594604129106,358.8972721850205
10,"[2.624177180317683, 0.29950323045848337, 0.6399414262164921, 2.126690104999208]",[1.53213731e-03 5.01585765e-01 1.00000000e-04 1.86038858e+00],164.20375099481763,336.40750198963525,350.37974776299745
11,"[1.807881309091967, 0.5125492752902988, 0.37062121908755913, 3.2702137474168214]",[0.14229542 0.02461029 0.60456822 1.90018941],143.3141940213712,294.6283880427424,308.64971418647184
12,"[0.7013169101610284, 0.7415500631347466, 0.7404658225062596, 2.6541118042316323]",[1.00000000e-04 5.85594485e-01 5.34842208e-04 3.11688432e+00],165.37783525757646,338.75567051515293,352.7114214197797
13,"[4.686499958702306, 0.437231161947799, 0.8679304640352459, 4.17215120729969]",[8.34678199e-01 7.43575870e-02 1.00000000e-04 6.56691061e-01],166.41565121441434,340.8313024288287,354.9011140146875
14,"[0.9175807874958879, 0.07626096729322585, 0.48584029326958816, 0.14158575501346898]",[1.00377074e+00 6.44049088e-02 4.87810997e-01 1.00000000e-04],141.2792912337255,290.558582467451,304.6444261389
15,"[2.697858778044778, 0.15524370381260752, 0.8316067755881009, 4.547811899319108]",[0.0001 0.0001 0.0001 0.0001],164.2758853984036,336.5517707968072,350.4240113613477
16,"[0.2752022225757604, 0.03618693914988101, 0.9710981067852912, 0.9933492905146435]",[0.63523568 0.09503606 0.9663151  0.91868508],129.75672867128142,267.51345734256284,281.5184901847418
17,"[0.9066579229944361, 0.35140371058771963, 0.8520802607876775, 0.28513527881089834]",[4.27932991e-01 2.58828705e-01 1.00000000e-04 1.00000000e-04],157.54827663842192,323.09655327684385,336.98563597152975
18,"[2.255869634609246, 0.7571139543259476, 0.5761935179302413, 1.4245170131816025]",[6.97604687e-01 7.37520760e-02 1.00000000e-04 2.67164236e-01],167.6466938903561,343.2933877807122,357.3147139244416
19,"[0.9126797206728899, 0.021733851721074286, 0.7826654671841786, 2.087482517308893]",[0.0001 0.0001 0.0001 0.0001],170.51421245150507,349.02842490301015,363.0497510467396
20,"[0.5070608049646148, 0.2782019470233043, 0.8713846654856944, 0.8255689126305257]",[1.23787148 0.06430742 0.96211628 0.86021561],109.37991713717317,226.75983427434633,240.73208004770854
21,"[2.2454272773560082, 0.5032403583072613, 0.04504028966527987, 0.39039268258488696]",[1.00000000e-04 4.37956217e-01 9.35515976e-02 2.37539141e+00],163.22135044347303,334.44270088694606,348.41494666030826
22,"[1.8434094709369913, 0.27567311590459853, 0.7897610440349783, 2.723979776709961]",[0.6591731  0.09701618 0.01006567 0.2185673 ],151.90003554207354,311.8000710841471,325.75582198877385
23,"[0.032794769259067644, 0.9514310851815415, 0.33757913954485647, 0.8935416943437979]",[1.00000000e-04 6.72743866e-01 3.38170826e-01 8.93271275e-01],167.01507105579157,342.03014211158313,355.96932984554576
24,"[1.0010895697068098, 0.5296130412917703, 0.5300444596732935, 0.48281431846690454]",[0.07488392 0.5202129  0.00513922 1.50088106],165.0738615173959,338.1477230347918,352.0869107687544
25,"[2.695372228107664, 0.6853917969309735, 0.7406324967172434, 1.0838202162126958]",[1.00000000e-04 5.19937371e-01 1.20412165e-03 1.71065213e+00],167.140077999877,342.280155999754,356.30148214348344
26,"[2.310631709543946, 0.9375855731458536, 0.23225431148106837, 0.8892322274105765]",[1.63066584 0.05631627 0.06658244 1.27290556],62.10656123577304,132.2131224715461,146.2017953727189
27,"[0.8990782879213609, 0.01912143917531136, 0.6883263512512818, 3.730478170205645]",[0.66143863 0.00504867 0.82661282 4.9999    ],100.74797102047394,209.49594204094788,223.5334953874598
28,"[2.106420705409598, 0.3808919486724985, 0.9390840978400445, 4.6632088200764175]",[6.1374338e-02 2.0574679e-04 1.0000000e-04 4.9999000e+00],136.0970500663695,280.194100132739,294.1166558261069
29,"[2.2223926032372705, 0.03272931215482168, 0.21280861363831893, 1.945319333385167]",[1.13203784 0.02134147 0.23745491 3.49624668],55.55563354996405,119.1112670999281,133.03382279329605
30,"[0.0026116763047537815, 0.8912834416064678, 0.002688011514617285, 2.791885155863447]",[5.29914487e-01 9.40208900e-01 1.00000000e-04 4.99990000e+00],152.17794188289307,312.35588376578613,326.37720990951556
31,"[4.86926233167856, 0.07577627606253909, 0.08709669672757979, 0.17954830078604422]",[4.99990000e+00 4.14340904e-02 9.35793346e-01 1.00000000e-04],139.00147144141934,286.0029428828387,299.9751886562009
32,"[3.5640117324788614, 0.5000347178060899, 0.7812726914585739, 3.8226502729563103]",[1.00000000e-04 9.41730150e-02 1.00000000e-04 5.55042116e-01],168.54203842598108,345.08407685196215,359.0891096941411
33,"[4.905110060441763, 0.6975996798250234, 0.1195987946039569, 1.692030671816572]",[4.90312157 0.01269681 0.99572924 1.96452048],54.58941087714193,117.17882175428386,131.2486333401427
34,"[4.009486171478351, 0.27439458151301516, 0.9927116489358455, 3.583944092357238]",[7.68107574e-01 5.30247652e-02 3.00389419e-04 4.91506228e-01],158.68332632123176,325.3666526424635,339.30584037642615
