participant_id,best_initial_guess,best_parameters,best_nll,AIC,BIC
70,"[2.6289185540391635, 0.20604570691398214, 0.985525327715998, 3.517007071146849]",[1.00000000e-04 1.06162098e-04 1.00000000e-04 4.99990000e+00],161.0987400528351,330.1974801056702,344.2188062493996
71,"[0.16388460129739213, 0.6818730726708969, 0.3337215505772734, 0.4796832915117492]",[1.00000000e-04 8.96337878e-01 2.86240139e-02 3.07767023e+00],168.7732136366791,345.5464272733582,359.535100174531
72,"[1.9122928171122096, 0.9042702847407159, 0.26836050848760645, 4.328016430781084]",[1.00000000e-04 1.79437497e-01 9.27309479e-01 1.88811270e+00],169.38697338554562,346.77394677109123,360.81150011760315
73,"[1.180911767680517, 0.8900887897965976, 0.2679404266767246, 1.8245850682459228]",[1.00000000e-04 5.04762035e-01 5.84251827e-01 1.75366999e+00],227.53066702841593,463.06133405683187,478.24556505989335
74,"[0.7264544403556851, 0.8362044721443024, 0.5292440912296603, 3.4757869214108514]",[1.00000000e-04 9.19934017e-01 2.61920625e-01 4.69626852e+00],164.26445017707726,336.52890035415453,350.40114091869503
75,"[0.8136762210437184, 0.9403854818111204, 0.6315301532912908, 1.2934821648118193]",[1.43512132e+00 6.76800190e-02 1.00000000e-04 1.00000000e-04],59.17570760049206,126.35141520098412,141.5234696345207
76,"[2.7060020164661447, 0.7343827155271209, 0.5486770406635122, 3.022988740253885]",[0.70991959 0.02239549 0.00703288 2.21312315],127.3987659093471,262.7975318186942,276.7697775920564
77,"[3.742204540654452, 0.31560561057187764, 0.9726891957753319, 4.299992236116693]",[1.12420009e-02 5.76286321e-01 2.30983872e-04 1.00000000e-04],230.11894491673036,468.2378898334607,483.4584297091267
78,"[0.3696027214105229, 0.43838822748417855, 0.6308532118965036, 1.4030543161222597]",[1.17087398e+00 2.46421485e-04 1.00000000e-04 4.99990000e+00],128.12970346113474,264.2594069222695,278.2316526956317
79,"[3.5482469028677746, 0.5226310998539513, 0.19496983180965496, 0.3699801747220013]",[4.01856407e+00 5.40114428e-03 8.69399660e-01 1.00000000e-04],108.39594729276946,224.79189458553893,238.7144502789069
80,"[2.559923873522332, 0.9964049811133254, 0.530584854286759, 4.343569436613655]",[1.00000000e-04 7.94510019e-01 1.13080865e-04 4.34291796e+00],164.76497541605633,337.52995083211266,351.4358050398387
81,"[0.10409382647596854, 0.25403236865856493, 0.3713148116768009, 0.07313460513590159]",[1.00000000e-04 7.80696768e-01 1.46554046e-01 2.46937845e+00],165.9095326455867,339.8190652911734,353.758253025136
82,"[2.2752421090068715, 0.9754802767471655, 0.09742063887309692, 1.3956190260046282]",[6.44465970e-01 1.38545833e-01 3.50164154e-01 1.00000000e-04],154.45229452167803,316.90458904335605,330.95830402801596
83,"[3.0139975460284583, 0.12314819204237706, 0.6230144840950721, 3.8100464891782386]",[0.0001 0.0001 0.0001 0.0001],171.20736266879143,350.41472533758287,364.4522786840948
84,"[0.9750514438226252, 0.7244219738115113, 0.9892944786302974, 0.4538421958248546]",[1.27908802 0.06043295 0.15327753 1.19308372],100.44680509395732,208.89361018791465,224.06566462145122
85,"[0.14897466239350865, 0.8338805365510871, 0.34755490086706053, 0.16642217255692537]",[1.00000000e-04 4.18074284e-01 4.07127368e-03 6.77334547e-01],231.12512437565158,470.25024875130316,485.49481272321
86,"[0.3981278124879339, 0.18953350156217494, 0.676811830004015, 4.800077008433633]",[1.00000000e-04 9.54129588e-01 1.11069668e-04 4.38387915e+00],170.24367599133598,348.48735198267195,362.5086781264014
87,"[3.1909850048150243, 0.2455073824483468, 0.45047372396017415, 1.27392876944921]",[1.0000000e-04 1.3758369e-04 1.0000000e-04 4.9999000e+00],147.36691404500417,302.73382809000833,316.60606865454884
88,"[2.4465277116146296, 0.04148173425849167, 0.10059192388800263, 3.719935319022292]",[3.16139104e+00 4.77976527e-02 1.00000000e-04 5.80244178e-02],222.97648831320714,453.9529766264143,469.1128173100033
89,"[0.9402561034286511, 0.08701926947323625, 0.5755349469506942, 4.562063878188838]",[1.00000000e-04 3.89825794e-01 8.48833387e-01 4.38835429e+00],224.91278854668846,457.8255770933769,472.98541777696596
90,"[3.64164642582757, 0.16323949501837953, 0.7167978796361821, 4.712757516263533]",[9.92818631e-01 2.30831085e-02 1.00000000e-04 2.38922136e+00],93.33829174695693,194.67658349391385,209.87295411175594
91,"[0.039477818710891115, 0.4172423091347577, 0.0061298585428946365, 2.561083150181674]",[0.08481109 0.82197077 0.05200158 2.39198797],226.19994221029017,460.39988442058035,475.58411542364183
92,"[2.9775088083632313, 0.5930777407223533, 0.10427113384815827, 0.4204455709427802]",[0.0001 0.0001 0.0001 0.0001],169.82106154980198,347.64212309960396,361.6471559417829
93,"[0.6206106649601074, 0.14241908441639411, 0.6700420235229186, 1.8828196557889294]",[1.00000000e-04 2.61065029e-02 5.26524356e-02 1.67216072e+00],142.14136144858142,292.28272289716284,306.2877557393418
94,"[0.19278835354868762, 0.34249923680965805, 0.9441046379987617, 1.0175607311801032]",[0.05506187 0.90221046 0.9999     0.33915034],170.22072938748337,348.44145877496675,362.4627849186962
95,"[2.1929578173208646, 0.24737293204649718, 0.6819299327973053, 2.8898852656191214]",[4.60043763e-01 5.85522599e-02 1.00000000e-04 1.00000000e-04],222.44707905731727,452.89415811463454,468.0539987982236
96,"[0.338547936981431, 0.6639001792239996, 0.39867715523473324, 2.7316578622444725]",[0.09855289 0.68799607 0.16171043 2.52097629],197.67124734750934,403.3424946950187,417.9943366155625
97,"[2.9295838598906854, 0.9970154371505497, 0.8789323831461846, 4.284066592486261]",[1.00000000e-04 1.04390465e-02 9.69621096e-01 3.91300505e+00],213.7779959252555,435.555991850511,450.6417563430311
98,"[3.0642968077749937, 0.45833729013453406, 0.45426323316652056, 0.07038877093138937]",[9.67187554e-01 6.19670042e-02 1.61971315e-04 1.09478302e+00],178.00629931043346,364.0125986208669,379.1108048030446
99,"[1.0968809981992997, 0.7487318276200055, 0.6690297011975134, 1.291492000300579]",[1.00000000e-04 2.75642925e-01 7.84677675e-01 1.11036374e+00],226.88749300544987,461.77498601089974,476.9470404444363
100,"[1.416190757356859, 0.43404564948389274, 0.3031429853093262, 2.0694720039584973]",[1.15445112e+00 2.47929801e-01 1.00000000e-04 1.32084790e+00],77.50834709711816,163.01669419423632,177.05424754074824
