LeSaS	Code = 999	
SubNo	Group(1=OptHighReward;2=OptLowReward)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	OutcomeCond(0=inaccurate;1=lowReward;2=highReward)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
999	1	1	0	2	1	39	24	3	4	3	1	1	NaN	0	0	2023	1	NaN
999	1	2	0	2	2	37	25	5	2	5	1	1	NaN	0	0	1473	1	1
999	1	3	0	2	3	31	35	4	5	4	1	1	NaN	0	0	3364	1	1
999	1	4	0	2	4	5	47	5	3	5	1	1	NaN	0	0	4388	1	1
999	1	5	0	1	1	45	11	2	5	5	2	1	NaN	0	0	2127	1	2
999	1	6	0	1	2	19	18	2	4	2	1	1	NaN	0	0	2745	0	2
999	1	7	0	1	3	21	3	3	4	4	2	1	NaN	0	0	2314	1	2
999	1	8	0	1	4	30	31	3	4	3	1	1	NaN	0	0	2047	0	2
999	1	9	0	1	5	49	24	3	2	3	1	1	NaN	0	0	1872	0	1
999	1	10	0	1	6	41	28	5	2	2	2	1	NaN	0	0	1719	1	2
999	1	1	1	2	1	37	36	3	2	2	2	1	1	4.900000e-01	4.900000e-01	4174	0	NaN
999	1	2	1	2	2	6	16	4	3	4	1	1	2	7.000000e-01	1.190000e+00	2253	1	2
999	1	3	1	2	3	22	1	5	2	5	1	1	2	7.700000e-01	1.960000e+00	1937	1	1
999	1	4	1	2	4	39	49	5	3	3	2	1	1	3.500000e-01	2.310000e+00	3096	0	2
999	1	5	1	1	1	50	11	2	4	4	2	1	2	6.700000e-01	2.980000e+00	6026	1	1
999	1	6	1	1	2	54	18	5	2	2	2	1	2	6.600000e-01	3.640000e+00	1644	1	1
999	1	7	1	1	3	45	49	2	5	2	1	1	1	2.200000e-01	3.860000e+00	3881	0	2
999	1	8	1	1	4	41	26	4	5	5	2	1	2	5.800000e-01	4.440000e+00	4720	1	2
999	1	9	1	1	5	49	8	3	5	5	2	1	2	6.600000e-01	5.100000e+00	1112	1	1
999	1	10	1	1	6	41	10	3	5	5	2	1	2	7.800000e-01	5.880000e+00	3872	1	1
999	1	11	1	2	1	28	4	2	3	3	2	1	1	2.600000e-01	6.140000e+00	2999	0	1
999	1	12	1	2	2	51	49	2	4	2	1	1	2	8.400000e-01	6.980000e+00	1973	1	2
999	1	13	1	1	1	2	29	5	3	3	2	1	2	5.700000e-01	7.550000e+00	1861	1	2
999	1	14	1	2	1	11	16	2	5	2	1	1	2	7.400000e-01	8.290000e+00	3465	1	2
999	1	15	1	2	2	1	29	5	4	5	1	1	2	5.100000e-01	8.800000e+00	1623	1	1
999	1	16	1	2	3	3	32	3	4	3	1	1	2	5.600000e-01	9.360000e+00	3754	1	1
999	1	17	1	2	4	3	46	4	2	4	1	1	2	6.100000e-01	9.970000e+00	746	1	1
999	1	18	1	2	5	33	44	3	5	3	1	1	2	6.900000e-01	1.066000e+01	2350	1	1
999	1	19	1	1	1	39	54	4	2	5	0	0	0	0	1.066000e+01	7072	NaN	NaN
999	1	20	1	1	2	54	5	2	4	4	2	1	2	8.900000e-01	1.155000e+01	2604	1	NaN
999	1	21	1	1	3	41	40	3	2	2	2	1	2	6.800000e-01	1.223000e+01	3257	1	1
999	1	22	1	1	4	47	34	5	3	3	2	1	2	6.200000e-01	1.285000e+01	2536	1	1
999	1	23	1	2	1	8	32	2	4	2	1	1	2	7.300000e-01	1.358000e+01	2668	1	2
999	1	24	1	2	2	8	4	5	4	4	2	1	1	1.900000e-01	1.377000e+01	1021	0	2
999	1	25	1	2	3	34	51	4	3	4	1	1	2	6.600000e-01	1.443000e+01	3988	1	2
999	1	26	1	1	1	49	38	4	5	5	2	1	2	7.200000e-01	1.515000e+01	1877	1	2
