LeSaS1	Code = 113	
SubNo	Group(1=OptHighReward;2=OptLowReward)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	OutcomeCond(0=inaccurate;1=lowReward;2=highReward)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
113	1	1	0	2	1	32	47	2	4	4	2	1	NaN	0	0	2768	0	NaN
113	1	2	0	2	2	33	34	4	2	4	1	1	NaN	0	0	2749	1	2
113	1	3	0	2	3	19	26	2	4	2	1	1	NaN	0	0	412	1	1
113	1	4	0	2	4	43	44	4	5	5	2	1	NaN	0	0	265	0	2
113	1	5	0	2	5	39	26	2	5	4	0	0	NaN	0	0	220	NaN	NaN
113	1	6	0	2	6	39	38	3	5	3	1	1	NaN	0	0	285	1	NaN
113	1	7	0	1	1	20	24	5	2	2	2	1	NaN	0	0	271	1	2
113	1	8	0	1	2	34	3	2	5	2	1	1	NaN	0	0	273	0	2
113	1	9	0	2	1	1	33	2	4	4	2	1	NaN	0	0	308	0	2
113	1	10	0	1	1	25	3	4	2	3	0	0	NaN	0	0	813	NaN	NaN
113	1	1	1	2	1	50	41	2	3	2	1	1	2	6.200000e-01	6.200000e-01	705	1	NaN
113	1	2	1	2	2	21	28	5	3	3	2	1	1	1.400000e-01	7.600000e-01	393	0	2
