LEDIS1	Code = 33	
SubNo	Group(1=OptHighReward;2=OptLowReward)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	OutcomeCond(0=inaccurate;1=lowReward;2=highReward)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
33	1	1	0	2	1	46	40	2	4	2	1	1	NaN	0	0	13726	1	NaN
33	1	2	0	2	2	52	40	5	2	2	2	1	NaN	0	0	22629	0	2
33	1	3	0	2	3	11	54	4	5	5	2	1	NaN	0	0	12819	0	1
33	1	4	0	2	4	30	31	4	3	4	1	1	NaN	0	0	6320	1	2
33	1	5	0	2	5	11	27	2	3	4	0	0	NaN	0	0	1361	NaN	NaN
33	1	6	0	1	1	51	7	5	4	5	1	1	NaN	0	0	6546	0	NaN
33	1	7	0	1	2	51	32	5	2	2	2	1	NaN	0	0	5248	1	2
33	1	8	0	1	3	27	34	2	4	5	0	0	NaN	0	0	4127	NaN	NaN
33	1	9	0	1	4	21	39	2	4	3	0	0	NaN	0	0	2141	NaN	NaN
33	1	10	0	1	5	51	27	2	4	5	0	0	NaN	0	0	1532	NaN	NaN
33	1	1	1	2	1	46	9	4	3	5	0	0	0	0	0	3727	NaN	NaN
33	1	2	1	2	2	37	38	4	2	2	2	1	1	4.500000e-01	4.500000e-01	4860	0	NaN
33	1	3	1	2	3	6	37	3	5	4	0	0	0	0	4.500000e-01	8260	NaN	NaN
33	1	4	1	2	4	41	9	2	4	5	0	0	0	0	4.500000e-01	3225	NaN	NaN
33	1	5	1	2	5	26	41	3	5	4	0	0	0	0	4.500000e-01	3551	NaN	NaN
33	1	6	1	1	1	17	20	2	5	5	2	1	2	5.600000e-01	1.010000e+00	15234	1	NaN
33	1	7	1	1	2	39	28	4	3	4	1	1	1	5.300000e-01	1.540000e+00	2531	0	2
33	1	8	1	1	3	42	15	3	2	2	2	1	2	1.060000e+00	2.600000e+00	1947	1	2
33	1	9	1	1	4	19	4	5	3	4	0	0	0	0	2.600000e+00	2126	NaN	NaN
33	1	10	1	1	5	12	43	2	4	5	0	0	0	0	2.600000e+00	2373	NaN	NaN
33	1	11	1	2	1	44	45	2	3	4	0	0	0	0	2.600000e+00	2051	NaN	NaN
33	1	12	1	1	1	5	42	5	4	4	2	1	2	1.060000e+00	3.660000e+00	1368	1	NaN
33	1	13	1	1	2	6	37	5	2	2	2	1	2	4.800000e-01	4.140000e+00	1318	1	1
33	1	14	1	2	1	40	38	5	4	2	0	0	0	0	4.140000e+00	2722	NaN	NaN
33	1	15	1	2	2	36	6	4	5	4	1	1	2	6.500000e-01	4.790000e+00	11606	1	NaN
33	1	16	1	1	1	5	31	2	3	4	0	0	0	0	4.790000e+00	3606	NaN	NaN
33	1	17	1	1	2	15	29	5	3	2	0	0	0	0	4.790000e+00	3158	NaN	NaN
33	1	18	1	1	3	17	35	5	3	4	0	0	0	0	4.790000e+00	5002	NaN	NaN
33	1	19	1	1	4	39	46	2	3	2	1	1	1	5.200000e-01	5.310000e+00	1968	0	NaN
33	1	20	1	2	1	19	44	3	4	2	0	0	0	0	5.310000e+00	883	NaN	NaN
33	1	21	1	2	2	3	32	3	2	2	2	1	1	4.800000e-01	5.790000e+00	4019	0	NaN
33	1	22	1	2	3	23	45	4	2	5	0	0	0	0	5.790000e+00	4912	NaN	NaN
33	1	23	1	2	4	42	7	3	5	4	0	0	0	0	5.790000e+00	2726	NaN	NaN
33	1	24	1	2	5	5	30	4	5	2	0	0	0	0	5.790000e+00	2684	NaN	NaN
33	1	25	1	2	6	27	17	4	5	5	2	1	1	5.900000e-01	6.380000e+00	5967	0	NaN
33	1	26	1	1	1	25	24	2	3	4	0	0	0	0	6.380000e+00	3829	NaN	NaN
33	1	27	1	1	2	13	17	3	4	4	2	1	2	2.200000e-01	6.600000e+00	4902	1	NaN
33	1	28	1	1	3	30	9	2	4	2	1	1	1	7.600000e-01	7.360000e+00	4040	0	2
