LEDISAS2	Code = 49	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
49	1	1	0	2	1	48	16	4	2	3	0	0	NaN	NaN	0	0	6575	NaN	NaN
49	1	2	0	2	2	39	15	5	2	5	1	1	NaN	NaN	0	0	18287	1	NaN
49	1	3	0	2	3	4	21	2	4	3	0	0	NaN	NaN	0	0	1993	NaN	NaN
49	1	4	0	2	4	28	31	3	5	4	0	0	NaN	NaN	0	0	4672	NaN	NaN
49	1	5	0	1	1	53	19	4	5	4	1	1	NaN	NaN	0	0	22990	0	NaN
49	1	6	0	1	2	28	4	4	5	4	1	1	NaN	NaN	0	0	1795	0	1
49	1	7	0	2	1	27	6	2	5	2	1	1	NaN	NaN	0	0	2321	1	1
49	1	8	0	2	2	4	2	3	2	3	1	1	NaN	NaN	0	0	3217	1	1
49	1	9	0	2	3	6	36	2	5	2	1	1	NaN	NaN	0	0	2951	1	1
49	1	10	0	2	4	32	24	5	3	5	1	1	NaN	NaN	0	0	4157	1	1
49	1	1	1	2	1	8	36	4	3	4	1	1	2	2	3.800000e+00	3.800000e+00	6669	1	NaN
49	1	2	1	2	2	41	54	5	4	5	1	1	2	2	3.220000e+00	7.020000e+00	2461	1	1
49	1	3	1	2	3	31	44	4	3	4	1	1	2	2	4.060000e+00	1.108000e+01	1896	1	1
49	1	4	1	2	4	1	4	5	4	5	1	1	2	2	4.140000e+00	1.522000e+01	1185	1	1
49	1	5	1	1	1	27	24	3	2	3	1	1	1	1	1.860000e+00	1.708000e+01	4039	0	1
49	1	6	1	1	2	6	47	2	4	2	1	1	1	1	2.140000e+00	1.922000e+01	3011	0	1
49	1	7	1	2	1	31	29	3	4	3	1	1	2	2	4.560000e+00	2.378000e+01	3913	1	1
49	1	8	1	2	2	35	36	3	2	3	1	1	2	2	3.980000e+00	2.776000e+01	3634	1	1
49	1	9	1	2	3	18	35	2	4	2	1	1	2	2	4.150000e+00	3.191000e+01	2525	1	1
49	1	10	1	2	4	47	24	2	4	2	1	1	2	2	4.080000e+00	3.599000e+01	1110	1	1
49	1	11	1	2	5	29	12	2	3	2	1	1	2	2	3.910000e+00	3.990000e+01	2743	1	1
49	1	12	1	2	6	8	5	5	4	5	1	1	2	2	4.340000e+00	4.424000e+01	1895	1	1
49	1	13	1	1	1	54	48	3	2	2	2	1	2	2	3.720000e+00	4.796000e+01	2369	1	2
49	1	14	1	1	2	14	22	5	4	5	1	1	1	1	2.260000e+00	5.022000e+01	5264	0	2
49	1	15	1	1	3	28	21	5	4	5	1	1	1	1	1.980000e+00	5.220000e+01	6779	0	1
49	1	16	1	1	4	48	36	4	5	5	2	1	2	2	4.050000e+00	5.625000e+01	3865	1	2
49	1	17	1	1	5	29	53	5	3	3	2	1	2	2	4.500000e+00	6.075000e+01	3332	1	1
49	1	18	1	1	6	31	4	2	3	3	2	1	2	2	4.030000e+00	6.478000e+01	3331	1	1
49	1	19	1	2	1	32	27	4	5	4	1	1	2	2	3.950000e+00	6.873000e+01	4634	1	2
49	1	20	1	2	2	1	11	4	3	4	1	1	2	2	3.610000e+00	7.234000e+01	2246	1	1
49	1	21	1	2	3	26	25	3	4	3	1	1	2	2	4.140000e+00	7.648000e+01	2266	1	1
49	1	22	1	2	4	20	9	3	5	3	1	1	2	2	3.370000e+00	7.985000e+01	2189	1	1
49	1	23	1	2	5	5	24	2	5	2	1	1	2	2	4.340000e+00	8.419000e+01	3883	1	1
49	1	24	1	1	1	14	35	4	2	2	2	1	2	2	4.770000e+00	8.896000e+01	3388	1	2
49	1	25	1	1	2	11	35	2	3	4	0	0	0	0	0	8.896000e+01	6466	NaN	NaN
49	1	26	1	1	3	34	37	5	3	3	2	1	2	2	3.670000e+00	9.263000e+01	4859	1	NaN
49	1	27	1	1	4	13	23	2	4	4	2	1	2	2	4.400000e+00	9.703000e+01	2559	1	1
49	1	28	1	1	5	10	49	3	5	5	2	1	2	2	4.590000e+00	1.016200e+02	5014	1	1
49	1	29	1	2	1	8	44	2	3	2	1	1	2	2	3.250000e+00	1.048700e+02	1699	1	2
49	1	30	1	1	1	19	3	4	2	2	2	1	2	2	3.320000e+00	1.081900e+02	3684	1	2
49	1	31	1	1	2	51	7	4	2	2	2	1	2	2	4.270000e+00	1.124600e+02	2486	1	1
49	1	32	1	1	3	25	8	5	2	2	2	1	2	2	3.810000e+00	1.162700e+02	1728	1	1
49	1	33	1	2	1	38	50	4	3	4	1	1	2	2	4.330000e+00	1.206000e+02	3569	1	2
49	1	34	1	2	2	24	27	5	3	5	1	1	2	2	4.380000e+00	1.249800e+02	3623	1	1
49	1	35	1	1	1	21	25	4	2	4	1	1	1	1	2.080000e+00	1.270600e+02	3156	0	1
49	1	36	1	1	2	53	35	2	5	5	2	1	2	2	4.610000e+00	1.316700e+02	3539	1	2
49	1	37	1	1	3	35	16	3	4	3	1	1	1	1	2.080000e+00	1.337500e+02	5851	0	2
49	1	38	1	1	4	2	53	2	3	3	2	1	2	2	4.560000e+00	1.383100e+02	3326	1	2
49	1	39	1	2	1	47	24	2	4	2	1	1	2	2	3.430000e+00	1.417400e+02	2591	1	2
49	1	40	1	2	2	19	3	3	4	3	1	1	2	2	3.990000e+00	1.457300e+02	3501	1	1
49	1	41	1	2	3	42	23	5	2	5	1	1	2	2	3.930000e+00	1.496600e+02	3982	1	1
49	1	42	1	1	1	31	39	5	3	5	1	1	1	1	1.810000e+00	1.514700e+02	3252	0	1
49	1	43	1	2	1	16	6	2	4	2	1	1	2	2	4.120000e+00	1.555900e+02	2408	1	1
49	1	44	1	2	2	16	29	2	4	2	1	1	2	2	3.500000e+00	1.590900e+02	3405	1	1
49	1	45	1	2	3	25	42	5	2	5	1	1	2	2	4.670000e+00	1.637600e+02	1931	1	1
49	1	46	1	2	4	33	27	4	5	4	1	1	2	2	3.620000e+00	1.673800e+02	3586	1	1
49	1	47	1	2	5	27	12	3	5	3	1	1	2	2	4.250000e+00	1.716300e+02	1528	1	1
49	1	48	1	2	6	46	32	2	5	2	1	1	2	2	4.100000e+00	1.757300e+02	3481	1	1
49	1	49	1	1	1	51	32	2	5	2	1	1	1	1	1.890000e+00	1.776200e+02	2251	0	1
49	1	50	1	1	2	30	53	5	2	5	1	1	1	1	1.740000e+00	1.793600e+02	1542	0	1
49	1	51	1	2	1	43	50	2	5	2	1	1	2	2	3.970000e+00	1.833300e+02	3030	1	1
49	1	52	1	1	1	26	1	4	2	4	1	1	1	1	1.880000e+00	1.852100e+02	3417	0	1
49	1	53	1	1	2	32	30	2	3	3	2	1	2	2	4.290000e+00	1.895000e+02	2118	1	2
49	1	54	1	1	3	6	19	5	4	4	2	1	2	2	4.240000e+00	1.937400e+02	3215	1	1
49	1	55	1	1	4	1	43	3	2	2	2	1	2	2	4.800000e+00	1.985400e+02	2059	1	1
49	1	56	1	1	5	12	30	4	5	5	2	1	2	2	4.280000e+00	2.028200e+02	3559	1	1
