LEDISAS2	Code = 46	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
46	2	1	0	2	1	18	40	5	4	5	1	1	NaN	NaN	0	0	12157	1	NaN
46	2	2	0	2	2	8	19	2	3	2	1	1	NaN	NaN	0	0	6945	1	1
46	2	3	0	2	3	24	25	5	4	5	1	1	NaN	NaN	0	0	4325	1	1
46	2	4	0	2	4	18	17	3	2	2	2	1	NaN	NaN	0	0	3503	0	2
46	2	5	0	2	5	8	1	2	5	5	2	1	NaN	NaN	0	0	2716	0	1
46	2	6	0	1	1	45	34	4	3	4	1	1	NaN	NaN	0	0	4508	0	2
46	2	7	0	1	2	44	15	3	4	3	1	1	NaN	NaN	0	0	5577	0	1
46	2	8	0	1	3	41	29	3	5	3	1	1	NaN	NaN	0	0	4840	0	1
46	2	9	0	2	1	13	5	2	4	4	2	1	NaN	NaN	0	0	2705	0	2
46	2	10	0	2	2	15	32	3	5	3	1	1	NaN	NaN	0	0	5978	1	2
46	2	1	1	2	1	15	36	4	5	5	2	1	1	2	2.730000e+00	2.730000e+00	3409	0	NaN
46	2	2	1	2	2	21	35	4	2	2	2	1	1	2	1.200000e+00	3.930000e+00	2467	0	1
46	2	3	1	2	3	52	32	3	2	2	2	1	1	2	1.510000e+00	5.440000e+00	5578	0	1
46	2	4	1	2	4	12	2	5	3	3	2	1	1	2	1.640000e+00	7.080000e+00	2492	0	1
46	2	5	1	2	5	26	43	3	5	3	1	1	2	1	4.260000e+00	1.134000e+01	8734	1	2
46	2	6	1	1	1	2	21	5	4	5	1	1	1	2	2.200000e+00	1.354000e+01	1498	0	1
46	2	7	1	1	2	27	15	2	4	4	2	1	2	1	3.950000e+00	1.749000e+01	1413	1	2
46	2	8	1	1	3	11	22	4	2	4	1	1	1	2	2.010000e+00	1.950000e+01	1309	0	2
46	2	9	1	2	1	14	30	4	3	4	1	1	2	1	3.960000e+00	2.346000e+01	4136	1	1
46	2	10	1	2	2	12	18	5	4	5	1	1	2	1	4.120000e+00	2.758000e+01	4327	1	1
46	2	11	1	1	1	20	29	4	2	2	2	1	2	1	4	3.158000e+01	3399	1	2
46	2	12	1	1	2	28	49	2	3	3	2	1	2	1	4.100000e+00	3.568000e+01	1587	1	1
46	2	13	1	2	1	25	9	2	3	3	2	1	1	2	2.330000e+00	3.801000e+01	1601	0	1
46	2	14	1	2	2	16	46	5	4	4	2	1	1	2	1.890000e+00	3.990000e+01	4176	0	1
46	2	15	1	2	3	8	16	4	5	4	1	1	2	1	3.990000e+00	4.389000e+01	3927	1	2
46	2	16	1	2	4	31	17	4	5	4	1	1	2	1	4.020000e+00	4.791000e+01	7403	1	1
46	2	17	1	1	1	17	46	3	4	4	2	1	2	1	3.910000e+00	5.182000e+01	3418	1	2
46	2	18	1	1	2	19	44	5	3	5	1	1	1	2	1.890000e+00	5.371000e+01	3344	0	2
46	2	19	1	1	3	6	14	5	4	4	2	1	2	1	3.990000e+00	5.770000e+01	1263	1	2
46	2	20	1	1	4	27	33	2	4	4	2	1	2	1	3.880000e+00	6.158000e+01	799	1	1
46	2	21	1	1	5	28	37	5	3	3	2	1	2	1	4.110000e+00	6.569000e+01	2769	1	1
46	2	22	1	1	6	19	8	2	5	2	1	1	1	2	1.470000e+00	6.716000e+01	5477	0	2
46	2	23	1	2	1	37	6	2	4	4	2	1	1	2	1.670000e+00	6.883000e+01	1697	0	2
46	2	24	1	2	2	17	49	4	2	2	2	1	1	2	1.450000e+00	7.028000e+01	1441	0	1
46	2	25	1	2	3	1	18	2	4	4	2	1	1	2	2.500000e+00	7.278000e+01	3255	0	1
46	2	26	1	1	1	41	27	5	2	2	2	1	2	1	3.920000e+00	7.670000e+01	2270	1	1
46	2	27	1	1	2	34	20	5	2	2	2	1	2	1	3.800000e+00	8.050000e+01	2285	1	1
46	2	28	1	1	3	49	8	3	2	2	2	1	2	1	4.100000e+00	8.460000e+01	2292	1	1
46	2	29	1	1	4	2	21	4	5	4	1	1	1	2	2.680000e+00	8.728000e+01	14479	0	2
46	2	30	1	1	5	24	51	2	3	3	2	1	2	1	4.080000e+00	9.136000e+01	5665	1	2
46	2	31	1	2	1	33	18	5	4	4	2	1	1	2	2.070000e+00	9.343000e+01	2733	0	1
46	2	32	1	1	1	10	43	4	2	2	2	1	2	1	3.900000e+00	9.733000e+01	1778	1	1
46	2	33	1	2	1	13	23	3	5	3	1	1	2	1	3.910000e+00	1.012400e+02	6184	1	2
46	2	34	1	2	2	46	53	4	3	4	1	1	2	1	4.140000e+00	1.053800e+02	3411	1	1
46	2	35	1	2	3	6	21	4	2	2	2	1	1	2	2.540000e+00	1.079200e+02	3249	0	2
46	2	36	1	2	4	13	22	4	2	4	1	1	2	1	3.930000e+00	1.118500e+02	6223	1	2
46	2	37	1	2	5	42	25	2	3	2	1	1	2	1	4.090000e+00	1.159400e+02	3089	1	1
46	2	38	1	2	6	46	44	2	3	2	1	1	2	1	4.030000e+00	1.199700e+02	1586	1	1
46	2	39	1	1	1	13	30	3	4	3	1	1	1	2	1.820000e+00	1.217900e+02	4272	0	1
46	2	40	1	1	2	13	41	3	5	3	1	1	1	2	1.610000e+00	1.234000e+02	2298	0	1
46	2	41	1	1	3	41	1	3	2	3	1	1	1	2	2.140000e+00	1.255400e+02	3456	0	1
46	2	42	1	1	4	38	45	3	2	3	1	1	1	2	1.140000e+00	1.266800e+02	4321	0	1
46	2	43	1	2	1	1	32	3	5	3	1	1	2	1	3.810000e+00	1.304900e+02	2582	1	1
46	2	44	1	2	2	48	43	2	5	2	1	1	2	1	4.240000e+00	1.347300e+02	7840	1	1
