LEDISAS2	Code = 31	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
31	3	1	0	2	1	47	46	5	3	2	0	0	NaN	NaN	0	0	8154	NaN	NaN
31	3	2	0	2	2	21	46	3	5	2	0	0	NaN	NaN	0	0	3271	NaN	NaN
31	3	3	0	2	3	53	41	4	2	3	0	0	NaN	NaN	0	0	10438	NaN	NaN
31	3	4	0	2	4	51	16	2	4	2	1	1	NaN	NaN	0	0	18544	1	NaN
31	3	5	0	2	5	15	40	4	2	2	2	1	NaN	NaN	0	0	5278	0	2
31	3	6	0	1	1	34	13	3	4	4	2	1	NaN	NaN	0	0	6182	1	1
31	3	7	0	1	2	15	48	5	2	2	2	1	NaN	NaN	0	0	3569	1	1
31	3	8	0	2	1	49	17	5	4	4	2	1	NaN	NaN	0	0	6529	0	1
31	3	9	0	2	2	44	29	3	5	5	2	1	NaN	NaN	0	0	2321	0	1
31	3	10	0	2	3	52	48	2	4	2	1	1	NaN	NaN	0	0	7018	1	2
31	3	1	1	2	1	27	30	4	2	2	2	1	2	1	4.120000e+00	4.120000e+00	2656	0	NaN
31	3	2	1	2	2	25	38	2	3	2	1	1	1	2	2.290000e+00	6.410000e+00	2212	1	2
31	3	3	1	2	3	19	40	5	3	3	2	1	2	1	3.790000e+00	1.020000e+01	3589	0	2
31	3	4	1	2	4	40	10	5	2	2	2	1	2	1	4.080000e+00	1.428000e+01	797	0	1
31	3	5	1	2	5	43	54	3	4	3	1	1	1	2	2.380000e+00	1.666000e+01	4694	1	2
31	3	6	1	1	1	54	20	5	4	4	2	1	1	2	2.300000e+00	1.896000e+01	2036	1	2
31	3	7	1	1	2	21	34	3	5	3	1	1	2	1	4.150000e+00	2.311000e+01	2800	0	2
31	3	8	1	2	1	26	51	2	5	2	1	1	1	2	2.150000e+00	2.526000e+01	1143	1	1
31	3	9	1	2	2	21	8	4	5	4	1	1	1	2	1.680000e+00	2.694000e+01	7102	1	1
31	3	10	1	2	3	48	23	2	4	2	1	1	1	2	1.930000e+00	2.887000e+01	1085	1	1
31	3	11	1	2	4	13	37	5	3	5	1	1	1	2	8.500000e-01	2.972000e+01	4663	1	1
31	3	12	1	1	1	49	22	4	5	5	2	1	1	2	2.220000e+00	3.194000e+01	6968	1	2
31	3	13	1	1	2	33	1	5	4	5	1	1	2	1	4.010000e+00	3.595000e+01	5853	0	2
31	3	14	1	1	3	8	54	3	4	3	1	1	2	1	3.930000e+00	3.988000e+01	2014	0	1
31	3	15	1	2	1	5	34	3	5	3	1	1	1	2	1.690000e+00	4.157000e+01	5625	1	1
31	3	16	1	2	2	54	22	4	3	4	1	1	1	2	1.490000e+00	4.306000e+01	10839	1	1
31	3	17	1	2	3	33	28	2	3	3	2	1	2	1	3.990000e+00	4.705000e+01	6500	0	2
31	3	18	1	2	4	43	53	3	2	2	2	1	2	1	4.040000e+00	5.109000e+01	7059	0	1
31	3	19	1	2	5	36	51	2	3	2	1	1	1	2	1.840000e+00	5.293000e+01	1758	1	2
31	3	20	1	2	6	27	8	4	2	2	2	1	2	1	3.940000e+00	5.687000e+01	1511	0	2
31	3	21	1	1	1	38	48	5	2	2	2	1	1	2	1.980000e+00	5.885000e+01	1479	1	1
31	3	22	1	1	2	28	31	5	4	4	2	1	1	2	1.920000e+00	6.077000e+01	3415	1	1
31	3	23	1	1	3	7	17	5	2	2	2	1	1	2	1.550000e+00	6.232000e+01	2160	1	1
31	3	24	1	1	4	10	29	5	2	5	1	1	2	1	4.150000e+00	6.647000e+01	1744	0	2
31	3	25	1	1	5	23	14	2	4	4	2	1	1	2	2.210000e+00	6.868000e+01	3304	1	2
31	3	26	1	2	1	12	8	4	5	5	2	1	2	1	4.150000e+00	7.283000e+01	1201	0	1
31	3	27	1	2	2	23	6	4	3	4	1	1	1	2	1.770000e+00	7.460000e+01	1781	1	2
31	3	28	1	2	3	1	40	3	2	3	1	1	1	2	1.470000e+00	7.607000e+01	3536	1	1
31	3	29	1	1	1	24	54	4	3	3	2	1	1	2	2.380000e+00	7.845000e+01	4857	1	2
31	3	30	1	1	2	26	12	4	2	2	2	1	1	2	2.020000e+00	8.047000e+01	3597	1	1
31	3	31	1	1	3	27	35	2	3	3	2	1	1	2	1.640000e+00	8.211000e+01	2831	1	1
