LEDISAS2	Code = 96	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
96	4	1	0	2	1	4	8	2	4	4	2	1	NaN	NaN	0	0	5919	0	NaN
96	4	2	0	2	2	3	51	4	3	4	1	1	NaN	NaN	0	0	5829	1	2
96	4	3	0	2	3	26	31	5	2	2	2	1	NaN	NaN	0	0	14458	0	2
96	4	4	0	2	4	47	24	2	3	2	1	1	NaN	NaN	0	0	15645	1	2
96	4	5	0	2	5	32	45	3	2	2	2	1	NaN	NaN	0	0	2658	0	2
96	4	6	0	2	6	16	10	2	3	2	1	1	NaN	NaN	0	0	4757	1	2
96	4	7	0	1	1	3	12	5	3	3	2	1	NaN	NaN	0	0	3491	1	2
96	4	8	0	1	2	38	31	2	5	5	2	1	NaN	NaN	0	0	4782	1	1
96	4	9	0	1	3	37	53	5	2	2	2	1	NaN	NaN	0	0	1796	1	1
96	4	10	0	1	4	30	51	5	4	4	2	1	NaN	NaN	0	0	8473	1	1
96	4	1	1	2	1	50	24	3	5	5	2	1	2	2	3.800000e+00	3.800000e+00	7436	0	NaN
96	4	2	1	2	2	39	45	2	4	4	2	1	2	2	3.220000e+00	7.020000e+00	14756	0	1
96	4	3	1	2	3	40	28	5	4	4	2	1	2	2	4.060000e+00	1.108000e+01	3914	0	1
96	4	4	1	2	4	26	34	2	4	2	1	1	1	1	2.030000e+00	1.311000e+01	2036	1	2
96	4	5	1	2	5	37	8	3	4	4	2	1	2	2	3.460000e+00	1.657000e+01	1942	0	2
96	4	6	1	2	6	34	4	2	3	3	2	1	2	2	4.560000e+00	2.113000e+01	2926	0	1
96	4	7	1	1	1	2	35	4	2	4	1	1	2	2	4.560000e+00	2.569000e+01	4088	0	2
96	4	8	1	1	2	19	21	2	3	2	1	1	2	2	3.980000e+00	2.967000e+01	6344	0	1
96	4	9	1	1	3	52	11	4	2	2	2	1	1	1	2.040000e+00	3.171000e+01	4753	1	2
96	4	10	1	1	4	44	14	2	4	2	1	1	2	2	4.080000e+00	3.579000e+01	2688	0	2
