LEDISAS2	Code = 17	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
17	1	1	0	1	1	23	52	4	2	4	1	1	NaN	NaN	0	0	6592	0	NaN
17	1	2	0	1	2	1	11	2	4	3	0	0	NaN	NaN	0	0	4932	NaN	NaN
17	1	3	0	1	3	47	21	2	5	2	1	1	NaN	NaN	0	0	21107	0	NaN
17	1	4	0	1	4	34	52	3	4	4	2	1	NaN	NaN	0	0	3004	1	2
17	1	5	0	1	5	26	13	4	2	4	1	1	NaN	NaN	0	0	3242	0	2
17	1	6	0	1	6	14	52	5	3	5	1	1	NaN	NaN	0	0	4213	0	1
17	1	7	0	2	1	18	34	2	5	5	2	1	NaN	NaN	0	0	3874	0	2
17	1	8	0	1	1	2	22	4	3	4	1	1	NaN	NaN	0	0	3789	0	2
17	1	9	0	2	1	11	44	2	4	2	1	1	NaN	NaN	0	0	4115	1	1
17	1	10	0	2	2	30	40	5	4	4	2	1	NaN	NaN	0	0	4043	0	2
17	1	1	1	1	1	27	3	3	2	3	1	1	1	1	1.950000e+00	1.950000e+00	2428	0	NaN
17	1	2	1	1	2	47	44	3	2	2	2	1	2	2	3.220000e+00	5.170000e+00	4767	1	2
17	1	3	1	1	3	40	27	4	3	3	2	1	2	2	4.060000e+00	9.230000e+00	2141	1	1
17	1	4	1	1	4	33	2	4	3	3	2	1	2	2	4.140000e+00	1.337000e+01	3005	1	1
17	1	5	1	1	5	9	47	5	4	5	1	1	1	1	1.860000e+00	1.523000e+01	1722	0	2
17	1	6	1	1	6	25	21	2	4	2	1	1	1	1	2.140000e+00	1.737000e+01	5771	0	1
