LEDISAS2	Code = 90	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
90	2	1	0	2	1	29	32	3	4	4	2	1	NaN	NaN	0	0	11714	0	NaN
90	2	2	0	2	2	31	9	5	2	5	1	1	NaN	NaN	0	0	6632	1	2
90	2	3	0	2	3	10	17	3	2	3	1	1	NaN	NaN	0	0	3362	1	1
90	2	4	0	1	1	9	50	3	4	4	2	1	NaN	NaN	0	0	10760	1	2
90	2	5	0	2	1	9	22	4	5	5	2	1	NaN	NaN	0	0	4541	0	1
90	2	6	0	1	1	36	2	2	5	5	2	1	NaN	NaN	0	0	6517	1	1
90	2	7	0	1	2	4	2	4	2	2	2	1	NaN	NaN	0	0	2656	1	1
90	2	8	0	1	3	2	52	5	2	2	2	1	NaN	NaN	0	0	2971	1	1
90	2	9	0	2	1	16	13	3	4	4	2	1	NaN	NaN	0	0	4980	0	1
90	2	10	0	2	2	25	52	2	4	4	2	1	NaN	NaN	0	0	1824	0	1
90	2	1	1	2	1	25	8	3	5	5	2	1	1	2	1.800000e+00	1.800000e+00	3838	0	NaN
90	2	2	1	2	2	9	15	4	2	2	2	1	1	2	1.220000e+00	3.020000e+00	4318	0	1
90	2	3	1	2	3	14	28	2	5	2	1	1	2	1	4.010000e+00	7.030000e+00	1279	1	2
90	2	4	1	1	1	33	1	5	3	5	1	1	1	2	2.140000e+00	9.170000e+00	2643	0	1
90	2	5	1	2	1	4	43	3	4	3	1	1	2	1	3.860000e+00	1.303000e+01	4087	1	1
90	2	6	1	1	1	12	29	4	5	5	2	1	2	1	4.140000e+00	1.717000e+01	1611	1	2
90	2	7	1	1	2	6	52	4	3	3	2	1	2	1	4.140000e+00	2.131000e+01	1400	1	1
90	2	8	1	1	3	53	27	4	5	5	2	1	2	1	4	2.531000e+01	7334	1	1
90	2	9	1	2	1	37	38	3	5	3	1	1	2	1	4.040000e+00	2.935000e+01	2853	1	2
90	2	10	1	2	2	48	31	4	2	4	1	1	2	1	4.020000e+00	3.337000e+01	2103	1	1
90	2	11	1	1	1	11	42	4	2	2	2	1	2	1	3.980000e+00	3.735000e+01	2888	1	2
