LEDISAS2	Code = 28	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
28	4	47	1	2	2	16	19	3	2	2	2	1	2	2	4.250000e+00	1.393200e+02	2364	0	1
28	4	48	1	2	3	41	5	2	3	3	2	1	2	2	4.100000e+00	1.434200e+02	1090	0	1
28	4	49	1	2	4	11	7	4	5	5	2	1	2	2	3.570000e+00	1.469900e+02	1037	0	1
28	4	50	1	2	5	53	28	2	5	5	2	1	2	2	2.980000e+00	1.499700e+02	3560	0	1
28	4	51	1	1	1	36	39	3	5	5	2	1	1	1	1.990000e+00	1.519600e+02	1416	1	1
28	4	52	1	1	2	51	46	2	3	3	2	1	1	1	1.880000e+00	1.538400e+02	2779	1	1
28	4	53	1	1	3	53	27	5	4	4	2	1	1	1	2.070000e+00	1.559100e+02	817	1	1
28	4	54	1	1	4	39	52	5	3	3	2	1	1	1	2.060000e+00	1.579700e+02	1950	1	1
28	4	55	1	1	5	35	25	5	4	4	2	1	1	1	2.200000e+00	1.601700e+02	2117	1	1
28	4	56	1	2	1	47	49	2	4	4	2	1	2	2	4.280000e+00	1.644500e+02	2693	0	1
28	4	57	1	2	2	26	29	5	2	2	2	1	2	2	3.700000e+00	1.681500e+02	2976	0	1
28	4	58	1	2	3	11	31	3	2	2	2	1	2	2	4.180000e+00	1.723300e+02	3070	0	1
28	4	59	1	1	1	34	19	3	5	5	2	1	1	1	1.880000e+00	1.742100e+02	1561	1	1
28	4	60	1	1	2	18	25	2	5	5	2	1	1	1	2	1.762100e+02	1177	1	1
28	4	61	1	1	3	44	12	4	2	2	2	1	1	1	1.990000e+00	1.782000e+02	3359	1	1
28	4	62	1	1	4	26	10	4	3	3	2	1	1	1	2	1.802000e+02	1135	1	1
28	4	63	1	2	1	22	1	3	4	4	2	1	2	2	3.850000e+00	1.840500e+02	4423	0	1
28	4	64	1	2	2	17	15	4	2	2	2	1	2	2	4.520000e+00	1.885700e+02	1195	0	1
28	4	65	1	2	3	28	53	4	5	5	2	1	2	2	3.120000e+00	1.916900e+02	3665	0	1
28	4	66	1	2	4	16	54	2	3	3	2	1	2	2	4.200000e+00	1.958900e+02	1987	0	1
28	4	67	1	2	5	8	23	4	5	5	2	1	2	2	4.420000e+00	2.003100e+02	1113	0	1
28	4	68	1	2	6	23	24	4	2	2	2	1	2	2	4.340000e+00	2.046500e+02	3705	0	1
28	4	69	1	1	1	1	6	3	4	4	2	1	1	1	2.070000e+00	2.067200e+02	1595	1	1
28	4	70	1	1	2	2	35	3	4	4	2	1	1	1	2	2.087200e+02	1481	1	1
28	4	71	1	2	1	11	51	2	4	4	2	1	2	2	4.320000e+00	2.130400e+02	4691	0	1
28	4	72	1	2	2	28	31	5	2	2	2	1	2	2	4.270000e+00	2.173100e+02	2157	0	1
28	4	73	1	1	1	31	2	3	2	2	2	1	1	1	1.970000e+00	2.192800e+02	1012	1	1
28	4	74	1	1	2	39	9	3	4	4	2	1	1	1	1.960000e+00	2.212400e+02	1105	1	1
28	4	75	1	1	3	12	33	4	3	3	2	1	1	1	1.970000e+00	2.232100e+02	2691	1	1
28	4	76	1	1	4	29	5	3	4	4	2	1	1	1	1.830000e+00	2.250400e+02	2141	1	1
28	4	77	1	1	5	2	3	4	5	5	2	1	1	1	1.970000e+00	2.270100e+02	773	1	1
28	4	78	1	1	6	5	20	4	2	2	2	1	1	1	2.010000e+00	2.290200e+02	2093	1	1
28	4	79	1	2	1	2	42	5	3	3	2	1	2	2	4.150000e+00	2.331700e+02	1973	0	1
28	4	80	1	1	1	41	5	2	4	4	2	1	1	1	2.170000e+00	2.353400e+02	844	1	1
28	4	81	1	2	1	7	35	5	3	3	2	1	2	2	3.830000e+00	2.391700e+02	4240	0	1
28	4	82	1	2	2	2	46	2	3	3	2	1	2	2	4.290000e+00	2.434600e+02	4387	0	1
28	4	83	1	2	3	1	3	5	3	3	2	1	2	2	4.380000e+00	2.478400e+02	5306	0	1
28	4	84	1	2	4	12	31	5	3	3	2	1	2	2	4.440000e+00	2.522800e+02	2435	0	1
28	4	1	2	2	1	16	17	3	5	4	0	0	0	0	0	2.522800e+02	2640	NaN	NaN
28	4	2	2	2	2	22	33	5	3	3	2	1	2	2	3.530000e+00	2.558100e+02	1448	0	NaN
28	4	3	2	2	3	49	26	3	5	5	2	1	2	2	4.100000e+00	2.599100e+02	2451	0	1
28	4	4	2	2	4	54	40	4	2	2	2	1	2	2	4.110000e+00	2.640200e+02	2527	0	1
28	4	5	2	1	1	40	6	5	3	3	2	1	1	1	1.880000e+00	2.659000e+02	2479	1	1
28	4	6	2	2	1	38	49	2	5	5	2	1	2	2	3.650000e+00	2.695500e+02	3417	0	1
28	4	7	2	2	2	32	21	5	4	4	2	1	2	2	4.510000e+00	2.740600e+02	2158	0	1
28	4	8	2	2	3	43	41	2	5	5	2	1	2	2	3.940000e+00	278	2406	0	1
28	4	9	2	1	1	1	31	5	4	4	2	1	1	1	2.050000e+00	2.800500e+02	1858	1	1
28	4	10	2	1	2	11	2	3	2	2	2	1	1	1	2.010000e+00	2.820600e+02	878	1	1
28	4	11	2	1	3	47	20	4	3	4	1	1	2	2	3.700000e+00	2.857600e+02	1785	0	2
28	4	12	2	1	4	46	18	3	4	4	2	1	1	1	1.930000e+00	2.876900e+02	2310	1	2
28	4	13	2	1	5	49	3	2	4	4	2	1	1	1	2.050000e+00	2.897400e+02	1912	1	1
28	4	14	2	2	1	51	2	4	2	2	2	1	2	2	3.550000e+00	2.932900e+02	681	0	1
28	4	15	2	1	1	10	5	4	5	5	2	1	1	1	2.090000e+00	2.953800e+02	2123	1	1
28	4	16	2	1	2	8	21	2	4	4	2	1	1	1	2.070000e+00	2.974500e+02	2196	1	1
28	4	17	2	1	3	37	23	4	5	5	2	1	1	1	1.900000e+00	2.993500e+02	2273	1	1
28	4	18	2	1	4	50	24	4	3	3	2	1	1	1	1.970000e+00	3.013200e+02	3556	1	1
28	4	19	2	1	5	19	6	5	4	4	2	1	1	1	1.860000e+00	3.031800e+02	1427	1	1
28	4	20	2	1	6	53	34	5	2	2	2	1	1	1	1.740000e+00	3.049200e+02	2752	1	1
28	4	21	2	2	1	5	3	3	4	4	2	1	2	2	4.460000e+00	3.093800e+02	791	0	1
28	4	22	2	2	2	53	23	4	3	3	2	1	2	2	3.760000e+00	3.131400e+02	1637	0	1
28	4	23	2	1	1	19	28	5	4	4	2	1	1	1	2.040000e+00	3.151800e+02	3801	1	1
28	4	24	2	1	2	33	32	4	5	5	2	1	1	1	2.030000e+00	3.172100e+02	1558	1	1
28	4	25	2	1	3	9	2	2	3	4	0	0	0	0	0	3.172100e+02	1045	NaN	NaN
28	4	26	2	2	1	35	39	5	4	4	2	1	2	2	4.010000e+00	3.212200e+02	2165	0	NaN
28	4	27	2	2	2	23	54	3	4	4	2	1	2	2	3.530000e+00	3.247500e+02	2764	0	1
28	4	28	2	2	3	50	32	3	4	4	2	1	2	2	3.550000e+00	3.283000e+02	1275	0	1
28	4	29	2	2	4	38	36	2	4	4	2	1	2	2	3.820000e+00	3.321200e+02	3221	0	1
28	4	30	2	2	5	18	22	4	5	5	2	1	2	2	3.440000e+00	3.355600e+02	2658	0	1
28	4	31	2	1	1	53	28	3	5	5	2	1	1	1	1.880000e+00	3.374400e+02	1357	1	1
28	4	32	2	1	2	13	19	3	4	4	2	1	1	1	2.170000e+00	3.396100e+02	1317	1	1
28	4	33	2	2	1	37	36	3	2	2	2	1	2	2	4.030000e+00	3.436400e+02	1757	0	1
28	4	34	2	2	2	19	37	5	2	2	2	1	2	2	3.430000e+00	3.470700e+02	773	0	1
28	4	35	2	2	3	52	8	2	3	3	2	1	2	2	3.980000e+00	3.510500e+02	1779	0	1
28	4	36	2	2	4	49	30	3	5	5	2	1	2	2	3.470000e+00	3.545200e+02	1417	0	1
28	4	37	2	2	5	49	35	5	2	2	2	1	2	2	3.360000e+00	3.578800e+02	974	0	1
