LEDISAS2	Code = 22	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
22	2	1	0	1	1	32	27	4	2	2	2	1	NaN	NaN	0	0	2146	1	NaN
22	2	2	0	1	2	28	34	3	5	5	2	1	NaN	NaN	0	0	6657	1	1
22	2	3	0	1	3	51	13	3	5	5	2	1	NaN	NaN	0	0	1916	1	1
22	2	4	0	1	4	40	50	2	4	4	2	1	NaN	NaN	0	0	2298	1	1
22	2	5	0	1	5	30	25	5	4	4	2	1	NaN	NaN	0	0	1630	1	1
22	2	6	0	1	6	12	49	2	5	5	2	1	NaN	NaN	0	0	2045	1	1
22	2	7	0	2	1	51	20	2	3	2	1	1	NaN	NaN	0	0	4730	1	2
22	2	8	0	2	2	8	22	2	4	2	1	1	NaN	NaN	0	0	2328	1	1
22	2	9	0	2	3	10	3	3	2	3	1	1	NaN	NaN	0	0	1131	1	1
22	2	10	0	2	4	54	48	2	5	2	1	1	NaN	NaN	0	0	3627	1	1
22	2	1	1	1	1	43	39	2	5	5	2	1	2	1	4.070000e+00	4.070000e+00	3449	1	NaN
22	2	2	1	1	2	49	8	5	3	3	2	1	2	1	4.150000e+00	8.220000e+00	2443	1	1
22	2	3	1	1	3	24	7	4	2	2	2	1	2	1	4.040000e+00	1.226000e+01	2866	1	1
22	2	4	1	1	4	39	28	3	4	4	2	1	2	1	3.920000e+00	1.618000e+01	1403	1	1
22	2	5	1	1	5	15	11	5	4	4	2	1	2	1	3.980000e+00	2.016000e+01	1110	1	1
22	2	6	1	1	6	54	4	2	4	4	2	1	2	1	3.710000e+00	2.387000e+01	2771	1	1
22	2	7	1	2	1	17	6	4	3	4	1	1	2	1	4.060000e+00	2.793000e+01	3027	1	2
22	2	8	1	2	2	8	18	3	5	4	0	0	0	0	0	2.793000e+01	2247	NaN	NaN
22	2	9	1	2	3	30	18	4	5	4	1	1	2	1	4.010000e+00	3.194000e+01	3557	1	NaN
22	2	10	1	2	4	46	51	3	2	3	1	1	2	1	3.930000e+00	3.587000e+01	2485	1	1
22	2	11	1	1	1	12	28	3	4	4	2	1	2	1	3.920000e+00	3.979000e+01	3331	1	2
22	2	12	1	1	2	42	19	3	5	5	2	1	2	1	3.870000e+00	4.366000e+01	2521	1	1
22	2	13	1	2	1	29	37	2	3	2	1	1	2	1	3.990000e+00	4.765000e+01	3455	1	2
22	2	14	1	2	2	6	15	5	4	5	1	1	2	1	4.040000e+00	5.169000e+01	2394	1	1
22	2	15	1	1	1	38	44	3	2	2	2	1	2	1	3.960000e+00	5.565000e+01	1847	1	2
