participant_id,best_initial_guess,best_parameters,EV_Gau_history,EV_Dir_history,best_nll,AIC,BIC
1,"[3.254530962164872, 0.5914175026242758, 0.9023846874688819]",[4.80996415e+00 1.26206544e-04 7.19194386e-01],[],[],87.26375631171513,180.52751262343025,191.01901729930987
2,"[1.3110731368501507, 0.08648583370717544, 0.5581612836020524]",[0.0001 0.0001 0.0001],[],[],166.35539603855008,338.71079207710017,349.1527088471261
3,"[0.878019370258439, 0.008786603963089014, 0.5360621013517385]",[0.0001 0.0001 0.0001],[],[],167.74164361142635,341.4832872228527,351.95010040132274
4,"[0.6126113861085511, 0.682847436570532, 0.40028351225684355]",[0.0154432  0.02508319 0.34927198],[],[],170.49894069703285,346.9978813940657,357.5138760018628
5,"[3.507351831313013, 0.7977815840322898, 0.7975941508511951]",[0.0001 0.0001 0.0001],[],[],168.434849874191,342.869699748382,353.34888407840367
6,"[1.9585644788929764, 0.9957420233162054, 0.03873295856481006]",[0.05268838 0.99574202 0.03873296],[],[],166.94419977305935,339.8883995461187,350.3427903465907
7,"[1.088830860249516, 0.1314029366635805, 0.4861516865749751]",[0.07077319 0.9999     0.9999    ],[],[],171.73883089557262,349.47766179114524,360.0179480296402
8,"[2.8763745686210274, 0.6267142370947807, 0.8476319055141561]",[0.0001 0.0001 0.0001],[],[],168.43477134179267,342.86954268358534,353.348727013607
9,"[0.1619515445746042, 0.8727467423638123, 0.8007234340636926]",[2.57645916e+00 1.00000000e-04 1.00000000e-04],[],[],168.24064186512365,342.4812837302473,352.9850583618815
10,"[0.14344715956704593, 0.8568816139503891, 0.9850402029040786]",[0.0001 0.0001 0.0001],[],[],170.514231192341,347.028462384682,357.54445699247907
11,"[3.092360269902878, 0.2090911056604119, 0.2812214261934465]",[6.90540221e-01 2.58596806e-02 1.00000000e-04],[],[],124.70691595109035,255.4138319021807,265.96619059157484
12,"[2.449154642505628, 0.22999883937605933, 0.1689873896341471]",[0.0001 0.0001 0.0001],[],[],169.82110145657063,345.64220291314126,356.14597754477546
13,"[0.12078441127977574, 0.1905474750239541, 0.18264653542498197]",[1.54800841e-02 5.76612201e-01 1.00000000e-04],[],[],168.4259367537621,342.8518735075242,353.33105783754587
14,"[1.176889376754858, 0.5185041517066306, 0.2597975662238338]",[0.0001 0.0001 0.0001],[],[],160.81015873872155,327.6203174774431,337.960529592442
15,"[4.503180510450344, 0.21354452409891786, 0.30663325581741957]",[0.0001 0.0001 0.0001],[],[],169.1279170045281,344.2558340090562,354.74733868493576
16,"[4.825180920061778, 0.0620737760010765, 0.059022370834128215]",[4.81344183e+00 1.00841867e-04 2.54645684e-02],[],[],169.5156623203806,345.0313246407612,355.5350992723954
17,"[2.324903028286708, 0.3995508200899521, 0.6908963477265966]",[0.0001 0.0001 0.0001],[],[],167.74171891222053,341.48343782444107,351.95025100291116
18,"[1.9077563507782913, 0.7273405258259524, 0.5843316873138521]",[0.0001 0.0001 0.0001],[],[],170.5142641290081,347.0285282580162,357.5445228658133
19,"[1.4788007293929049, 0.059564119857898536, 0.5917309551596092]",[1.04008519e-01 1.68467635e-02 1.00000000e-04],[],[],170.07716140912353,346.15432281824707,356.67031742604416
20,"[2.0307505536910124, 0.0688959398224673, 0.7140446360367679]",[0.0001 0.0001 0.0001],[],[],173.28681196087766,352.5736239217553,363.13800667534207
21,"[2.24832469083119, 0.7797948060719884, 0.15844243544269607]",[0.0001 0.0001 0.0001],[],[],170.5142760995959,347.0285521991918,357.5445468069889
22,"[2.728391042918795, 0.3470659010824078, 0.5192958879419255]",[0.0001 0.0001 0.0001],[],[],167.74168761015022,341.48337522030045,351.9501883987705
23,"[2.1492557421778113, 0.561948124440602, 0.81080709698882]",[0.0001 0.0001 0.0001],[],[],169.12793454223885,344.2558690844777,354.7473737603573
