participant_id,best_initial_guess,best_parameters,EV_Gau_history,EV_Dir_history,best_nll,AIC,BIC
24,"[2.540911240886192, 0.6145871681646015, 0.9758308638294925]",[0.17483841 0.04513891 0.00019622],[],[],164.71258412506603,335.42516825013206,345.8919814286021
25,"[4.983040051807108, 0.02626256591287759, 0.5162109183978061]",[4.9999     0.0131679  0.50165903],[],[],156.21705773712335,318.4341154742467,328.9256201501263
26,"[1.2421000081714837, 0.8321455285710931, 0.6465623386765337]",[0.0001 0.0001 0.0001],[],[],168.4347730019556,342.8695460039112,353.34873033393285
27,"[1.7565681271176412, 0.6613507301764737, 0.11248341770306614]",[0.0001 0.0001 0.0001],[],[],169.12797763754878,344.25595527509756,354.74745995097715
28,"[1.3894733180027359, 0.19720663586137704, 0.78265545276701]",[2.57550076e-01 1.00000000e-04 4.73029728e-01],[],[],170.50891356476265,347.0178271295253,357.5338217373224
29,"[4.26565206028178, 0.3166811227128961, 0.882512792380301]",[0.07353755 0.02983276 0.0001    ],[],[],165.2978699526478,336.5957399052956,347.0251305610901
30,"[1.9028955073505107, 0.13364771582193766, 0.6270506560908]",[0.0001 0.0001 0.0001],[],[],169.12794415689314,344.2558883137863,354.74739298966585
31,"[1.366343693753097, 0.12756251735254695, 0.2540711514359158]",[0.0001 0.0001 0.0001],[],[],164.2759678110938,334.5519356221876,344.95611604559303
32,"[3.099205954772988, 0.8290878764399345, 0.3215327552027492]",[4.48543649e-01 4.00044995e-02 1.00000000e-04],[],[],157.42973117491948,320.85946234983896,331.36323698147316
33,"[2.451501596233237, 0.14705659244641164, 0.7946544115176889]",[0.0001 0.0001 0.0001],[],[],169.12800915527228,344.25601831054456,354.74752298642414
34,"[1.3854192973507162, 0.6636526401511726, 0.814563736123591]",[0.0001 0.0001 0.0001],[],[],167.74169067758461,341.48338135516923,351.9501945336393
35,"[2.835066112941057, 0.06895204576219513, 0.4518099828052262]",[5.19692646e-01 4.01170062e-01 1.00000000e-04],[],[],154.04079384995472,314.08158769990945,324.6097527097934
36,"[4.700943043550314, 0.0032669157319996636, 0.30645315129089873]",[4.99990000e+00 3.71825864e-04 8.59490949e-01],[],[],111.82768203383588,229.65536406767177,240.2197468212585
37,"[4.981498971073885, 0.12550533083453475, 0.17685864580395805]",[4.99990000e+00 1.00000000e-04 2.14806575e-01],[],[],166.32531524049102,338.65063048098204,349.092547251008
38,"[4.659735308165, 0.0070656289444437715, 0.157141133388233]",[4.85914694e+00 1.08297740e-03 3.42375171e-01],[],[],165.64475501627604,337.2895100325521,347.75632321102216
39,"[2.978886899111837, 0.5283308889883248, 0.25359431959389434]",[0.0001 0.0001 0.0001],[],[],160.81023386560167,327.62046773120335,337.96067984620225
40,"[3.411200764814261, 0.6678094863992258, 0.4363390601738177]",[0.0001 0.0001 0.0001],[],[],170.5142986850841,347.0285973701682,357.5445919779653
41,"[1.87762014515338, 0.22116644756546752, 0.21644962814938226]",[0.0001 0.0001 0.0001],[],[],167.0484912374039,340.0969824748078,350.5513732752798
42,"[1.5627540982079628, 0.1625629545839084, 0.9915685870580648]",[0.0001 0.0001 0.0001],[],[],168.4347851381977,342.8695702763954,353.34875460641706
43,"[0.691537260936063, 0.24311010302301445, 0.7355889697460534]",[0.29139797 0.29661655 0.2170225 ],[],[],166.18178631812205,338.3635726362441,348.8795672440412
44,"[2.5726478766420042, 0.07860889298677454, 0.9985244303912317]",[1.90890796e-01 3.48782198e-01 1.00000000e-04],[],[],168.15931729055075,342.3186345811015,352.8224092127357
45,"[4.960291594081924, 0.2287154267667586, 0.936481181196779]",[4.96028720e+00 3.34476146e-03 2.54089512e-02],[],[],170.31935402050416,346.63870804100833,357.1547026488054
46,"[0.10166353908528142, 0.5971925045722362, 0.10808994708028152]",[1.15199515e+00 7.11877127e-01 1.00000000e-04],[],[],65.18155244880744,136.36310489761487,146.915463587009
47,"[0.722091496618431, 0.6983551468247872, 0.5414474103933373]",[0.0001 0.0001 0.0001],[],[],167.74168762717426,341.4833752543485,351.95018843281855
48,"[1.2192807627157478, 0.0520192454050069, 0.896504986886034]",[0.0001 0.0001 0.0001],[],[],171.20744990366947,348.41489980733894,358.9430648172229
49,"[1.6232707388494148, 0.7825975511397703, 0.6796857589250945]",[0.0001 0.0001 0.0001],[],[],171.20737881126797,348.41475762253594,358.9429226324199
50,"[1.7224379135491896, 0.21839521185272365, 0.33816229787622254]",[0.0001 0.0001 0.0001],[],[],164.9691110410245,335.938222082049,346.3550341030634
51,"[4.365055128610253, 0.6663357307771866, 0.03355076125623212]",[1.40899176 0.02161866 0.9999    ],[],[],108.73878241590194,223.47756483180387,234.01785107029883
52,"[1.860693453459283, 0.39297652633151436, 0.5252562411338464]",[1.95502843e-01 1.07066594e-01 1.00000000e-04],[],[],168.242032207909,342.484064415818,353.0000590236151
53,"[2.722910468996811, 0.6412434538510864, 0.8618643845124645]",[2.16979643e+00 1.00000000e-04 1.00000000e-04],[],[],167.20625304943817,340.41250609887635,350.87931927734644
54,"[1.3554752781334376, 0.5521320869932093, 0.47868376719624656]",[0.0001 0.0001 0.0001],[],[],169.82107323887163,345.64214647774327,356.14592110937747
55,"[1.000107626840518, 0.6088478685065604, 0.050483291228820185]",[0.0001 0.0001 0.0001],[],[],169.82109024232395,345.6421804846479,356.1459551162821
56,"[1.4104761448802585, 0.569279943467946, 0.3608157160293808]",[0.0001 0.0001 0.0001],[],[],169.1279554923369,344.2559109846738,354.7474156605534
57,"[2.871516286390887, 0.19817056026481628, 0.8512802145261146]",[0.0001 0.0001 0.0001],[],[],167.04855569724177,340.09711139448353,350.5515021949555
58,"[4.263380011133695, 0.08806099904203016, 0.18403477924929582]",[0.0001 0.0001 0.0001],[],[],163.58276286079163,333.16552572158326,343.55702113666007
59,"[1.6189751347879, 0.029309763634549443, 0.5083411916212363]",[2.05761882e+00 1.00000000e-04 1.00000000e-04],[],[],168.75723304619274,343.5144660923855,354.00597076826506
60,"[3.442739948608249, 0.08536590400455096, 0.16036656110005879]",[0.19567636 0.9999     0.9999    ],[],[],171.55219040381354,349.1043808076271,359.66876356121384
61,"[1.7535046224979018, 0.2319912757127146, 0.6326560839897712]",[0.0001 0.0001 0.0001],[],[],169.82113919538196,345.6422783907639,356.1460530223981
62,"[2.684640169052862, 0.3516174308374766, 0.5279039496480571]",[0.0001 0.0001 0.0001],[],[],169.8210904423826,345.6421808847652,356.1459555163994
63,"[2.0876791321277963, 0.18896754165816487, 0.7158334260695344]",[2.03851540e-01 2.96288589e-02 1.00000000e-04],[],[],169.3172176866348,344.6344353732696,355.1626003831535
64,"[2.647479218428516, 0.6294594104865044, 0.8281014116100571]",[0.0001 0.0001 0.0001],[],[],169.1280058282936,344.2560116565872,354.7475163324668
65,"[2.5684946921128007, 0.8464452436519659, 0.2809550067199201]",[2.56720288e-01 2.16061645e-02 1.00000000e-04],[],[],160.41040218669536,326.82080437339073,337.2627211434167
66,"[1.921571953031992, 0.4625255389628234, 0.6458936001222825]",[0.0001 0.0001 0.0001],[],[],169.82106521629916,345.6421304325983,356.1459050642325
67,"[1.7093293894271797, 0.06995552108076808, 0.914233822059523]",[0.46909026 0.9999     0.96108365],[],[],155.00322333212475,316.0064466642495,326.4732598427196
68,"[0.052097715303843974, 0.8742468838150738, 0.43434293528924606]",[0.0001 0.0001 0.0001],[],[],169.82114794944368,345.64229589888737,356.14607053052157
69,"[2.574180504285388, 0.5713760108783666, 0.9946393913583625]",[0.0001 0.0001 0.0001],[],[],171.20742867164088,348.41485734328177,358.9430223531657
70,"[0.3278751222928415, 0.44297642972399204, 0.5460689425342329]",[0.0001 0.0001 0.0001],[],[],167.74169235869618,341.48338471739237,351.9501978958624
71,"[1.102099665548541, 0.31838354182456086, 0.3394149705574164]",[0.0001 0.0001 0.0001],[],[],165.66218630252675,337.3243726050535,347.753763260848
72,"[4.682409161884002, 0.2472737884938731, 0.6314177848533422]",[0.0001 0.0001 0.0001],[],[],167.04856389404242,340.09712778808483,350.5515185885568
73,"[1.5927568186473322, 0.97461651631325, 0.9124780824736551]",[1.33215622e+00 1.00000000e-04 1.00000000e-04],[],[],168.37454229531966,342.7490845906393,353.228268920661
74,"[2.1867456771777243, 0.3094894268396503, 0.5690368993792998]",[0.0001 0.0001 0.0001],[],[],169.127966379072,344.255932758144,354.7474374340236
75,"[2.2121544878207278, 0.5229834400961281, 0.23495284613773043]",[0.0001 0.0001 0.0001],[],[],168.4348007815111,342.8696015630222,353.34878589304384
76,"[1.0703582234428703, 0.7038024426574335, 0.33707034057713287]",[0.0001 0.0001 0.0001],[],[],170.5142320122236,347.0284640244472,357.5444586322443
77,"[4.547618439024539, 0.39135519806200314, 0.19984471916441962]",[1.07849307 0.01503617 0.9999    ],[],[],140.32017998518782,286.64035997037564,297.15635457817274
78,"[2.9527839441897648, 0.6203731141736246, 0.41735577916906513]",[2.30957083e-01 1.87111845e-01 1.00000000e-04],[],[],164.57574124615002,335.15148249230003,345.605873292772
79,"[0.3622406682606852, 0.10752758601508039, 0.32347395103330884]",[0.0001 0.0001 0.0001],[],[],169.127966880647,344.255933761294,354.74743843717357
80,"[1.4810804238390456, 0.37407335718417845, 0.7676899108397641]",[0.0001 0.0001 0.0001],[],[],167.74171734626796,341.4834346925359,351.950247871006
81,"[1.0419553722926962, 0.1989541938009081, 0.26510090292011346]",[0.0001 0.0001 0.0001],[],[],171.20735538440422,348.41471076880845,358.9428757786924
82,"[1.0121052313543193, 0.9088566300896793, 0.5124889989522861]",[4.81078515e+00 1.50138670e-04 9.90435546e-01],[],[],89.16952129656246,184.33904259312493,194.805855771595
83,"[0.17712082761906267, 0.14932789160440013, 0.24302958450921047]",[2.63911007e-01 8.16624167e-02 1.00000000e-04],[],[],164.2639413124646,334.5278826249292,344.9946958033993
84,"[1.2676544573174129, 0.39309289994835245, 0.5125801266223944]",[0.0001 0.0001 0.0001],[],[],170.51423408401484,347.0284681680297,357.5444627758268
85,"[0.4334186719761255, 0.05477693788120558, 0.31477524239509524]",[0.33465719 0.38948968 0.01208694],[],[],165.86888416279004,337.7377683255801,348.27805456407503
86,"[0.6255260258745964, 0.6350286629752199, 0.49787853059808407]",[0.0001 0.0001 0.0001],[],[],168.43480297621284,342.8696059524257,353.34879028244734
87,"[3.434764243486765, 0.1555122902077554, 0.11980801098141498]",[2.01452530e+00 1.00000000e-04 9.92515246e-01],[],[],151.64955952581658,309.29911905163317,319.7410358216591
88,"[4.829837676881904, 0.14857066512473566, 0.2936819456272909]",[4.99990000e+00 4.89299120e-03 1.50320993e-02],[],[],162.87895391750976,331.7579078350195,342.1494032500964
89,"[2.0410687849476696, 0.8155078489476147, 0.343756055782413]",[1.03774211 0.0182985  0.05018858],[],[],90.25688276475996,186.51376552951993,196.85397764451886
90,"[1.170660482081112, 0.3622658918993545, 0.7927788677440253]",[8.98621998e-01 7.51282330e-02 1.00000000e-04],[],[],105.89880320762157,217.79760641524314,228.3013810468773
91,"[4.601175144447232, 0.11423034815155467, 0.9524354491343143]",[0.0001 0.0001 0.0001],[],[],167.74167068082397,341.48334136164794,351.950154540118
92,"[3.165243138581567, 0.05572753311383469, 0.023393606855747727]",[4.99990000e+00 4.18387548e-03 1.01125199e-01],[],[],165.51059207132047,337.02118414264095,347.51268881852053
93,"[2.416696471131195, 0.16143151279399176, 0.19846929163165683]",[0.0001 0.0001 0.0001],[],[],171.90060763564009,349.80121527128017,360.3415015097751
94,"[3.397594531833547, 0.63209660947694, 0.18003886257048954]",[0.0001 0.0001 0.0001],[],[],171.20737763873603,348.41475527747207,358.942920287356
95,"[3.3696418988206918, 0.4077422782128152, 0.5697799900631292]",[0.0001 0.0001 0.0001],[],[],148.3335463870487,302.6670927740974,312.76502081916294
96,"[1.9584697797130046, 0.9162845813659062, 0.0959391596558864]",[0.07079829 0.0749006  0.0001    ],[],[],170.21126693896898,346.42253387793795,356.93852848573505
97,"[2.2860319878048707, 0.7639826117661083, 0.18608963620025415]",[0.0001 0.0001 0.0001],[],[],169.12799589419564,344.25599178839127,354.74749646427085
98,"[0.8744933410428349, 0.47346068131221286, 0.2907139900077346]",[6.07200124e-02 3.99620371e-01 1.00000000e-04],[],[],168.9814162239318,343.9628324478636,354.4543371237432
99,"[3.631129962825154, 0.8206132392058141, 0.2703658793897188]",[0.0001 0.0001 0.0001],[],[],173.28689061705623,352.57378123411246,363.1381639876992
100,"[3.807401761913914, 0.3348172480597421, 0.036553002524396354]",[1.2189664e+00 1.0000000e-04 1.0000000e-04],[],[],169.08659421413782,344.17318842827564,354.6646931041552
101,"[3.0283037988638277, 0.11133266581330323, 0.08224934044573687]",[0.0001 0.0001 0.0001],[],[],173.2868811181858,352.5737622363716,363.13814498995833
102,"[2.742729244448208, 0.11362771256984289, 0.17455215053335907]",[0.02581918 0.77412043 0.00370048],[],[],165.63771590588578,337.27543181177157,347.7048224675661
103,"[2.052604508151328, 0.9604296205793811, 0.07848607668624642]",[1.11059647e-01 1.62896387e-01 1.00000000e-04],[],[],167.1959050924544,340.3918101849088,350.8586233633789
104,"[2.2252071981534005, 0.053913523961843964, 0.5589318306126146]",[1.5662031e+00 1.0000000e-04 9.9766889e-01],[],[],149.1758675309073,304.3517350618146,314.76854708282906
105,"[3.7459714038453877, 0.23784220601218098, 0.4399533406669835]",[1.16358975e-01 1.26489059e-02 1.00000000e-04],[],[],167.16240989684778,340.32481979369555,350.79163297216564
106,"[2.321707711193577, 0.6737773114906458, 0.1766229335746356]",[0.0001 0.0001 0.0001],[],[],165.66217893791296,337.3243578758259,347.75374853162043
