participant_id,best_nll,AIC,BIC
1,168.4347648760667,336.8695297521334,336.8695297521334
2,165.66217615382692,331.32435230765384,331.32435230765384
3,167.0484705149468,334.0969410298936,334.0969410298936
4,169.8210592371866,339.6421184743732,339.6421184743732
5,167.74161769550676,335.4832353910135,335.4832353910135
6,166.35532333438687,332.71064666877373,332.71064666877373
7,171.2073535983065,342.414707196613,342.414707196613
8,167.74161769550676,335.4832353910135,335.4832353910135
9,169.12791205662666,338.2558241132533,338.2558241132533
10,169.8210592371866,339.6421184743732,339.6421184743732
11,171.90050077886644,343.8010015577329,343.8010015577329
12,169.12791205662666,338.2558241132533,338.2558241132533
13,167.74161769550676,335.4832353910135,335.4832353910135
14,160.11699870934737,320.23399741869474,320.23399741869474
15,168.4347648760667,336.8695297521334,336.8695297521334
16,169.12791205662666,338.2558241132533,338.2558241132533
17,167.0484705149468,334.0969410298936,334.0969410298936
18,169.8210592371866,339.6421184743732,339.6421184743732
19,169.8210592371866,339.6421184743732,339.6421184743732
20,172.59364795942636,345.1872959188527,345.1872959188527
21,169.8210592371866,339.6421184743732,339.6421184743732
22,167.0484705149468,334.0969410298936,334.0969410298936
23,168.4347648760667,336.8695297521334,336.8695297521334
24,167.0484705149468,334.0969410298936,334.0969410298936
25,168.4347648760667,336.8695297521334,336.8695297521334
26,167.74161769550676,335.4832353910135,335.4832353910135
27,168.4347648760667,336.8695297521334,336.8695297521334
28,169.8210592371866,339.6421184743732,339.6421184743732
29,164.96902897326697,329.93805794653395,329.93805794653395
30,168.4347648760667,336.8695297521334,336.8695297521334
31,163.58273461214708,327.16546922429416,327.16546922429416
32,169.12791205662666,338.2558241132533,338.2558241132533
33,168.4347648760667,336.8695297521334,336.8695297521334
34,167.0484705149468,334.0969410298936,334.0969410298936
35,170.51420641774655,341.0284128354931,341.0284128354931
36,172.59364795942636,345.1872959188527,345.1872959188527
37,165.66217615382692,331.32435230765384,331.32435230765384
38,167.0484705149468,334.0969410298936,334.0969410298936
39,160.11699870934737,320.23399741869474,320.23399741869474
40,169.8210592371866,339.6421184743732,339.6421184743732
41,166.35532333438687,332.71064666877373,332.71064666877373
42,167.74161769550676,335.4832353910135,335.4832353910135
43,169.8210592371866,339.6421184743732,339.6421184743732
44,169.12791205662666,338.2558241132533,338.2558241132533
45,169.8210592371866,339.6421184743732,339.6421184743732
46,171.90050077886644,343.8010015577329,343.8010015577329
47,167.0484705149468,334.0969410298936,334.0969410298936
48,170.51420641774655,341.0284128354931,341.0284128354931
49,170.51420641774655,341.0284128354931,341.0284128354931
50,164.27588179270703,328.55176358541405,328.55176358541405
51,171.2073535983065,342.414707196613,342.414707196613
52,169.8210592371866,339.6421184743732,339.6421184743732
53,167.0484705149468,334.0969410298936,334.0969410298936
54,169.12791205662666,338.2558241132533,338.2558241132533
55,169.12791205662666,338.2558241132533,338.2558241132533
56,168.4347648760667,336.8695297521334,336.8695297521334
57,166.35532333438687,332.71064666877373,332.71064666877373
58,162.88958743158713,325.77917486317426,325.77917486317426
59,168.4347648760667,336.8695297521334,336.8695297521334
60,172.59364795942636,345.1872959188527,345.1872959188527
61,169.12791205662666,338.2558241132533,338.2558241132533
62,169.12791205662666,338.2558241132533,338.2558241132533
63,170.51420641774655,341.0284128354931,341.0284128354931
64,168.4347648760667,336.8695297521334,336.8695297521334
65,165.66217615382692,331.32435230765384,331.32435230765384
66,169.12791205662666,338.2558241132533,338.2558241132533
67,167.0484705149468,334.0969410298936,334.0969410298936
68,169.12791205662666,338.2558241132533,338.2558241132533
69,170.51420641774655,341.0284128354931,341.0284128354931
70,167.0484705149468,334.0969410298936,334.0969410298936
71,164.96902897326697,329.93805794653395,329.93805794653395
72,166.35532333438687,332.71064666877373,332.71064666877373
73,167.74161769550676,335.4832353910135,335.4832353910135
74,168.4347648760667,336.8695297521334,336.8695297521334
75,167.74161769550676,335.4832353910135,335.4832353910135
76,169.8210592371866,339.6421184743732,339.6421184743732
77,169.8210592371866,339.6421184743732,339.6421184743732
78,166.35532333438687,332.71064666877373,332.71064666877373
79,168.4347648760667,336.8695297521334,336.8695297521334
80,167.0484705149468,334.0969410298936,334.0969410298936
81,170.51420641774655,341.0284128354931,341.0284128354931
82,167.0484705149468,334.0969410298936,334.0969410298936
83,167.0484705149468,334.0969410298936,334.0969410298936
84,169.8210592371866,339.6421184743732,339.6421184743732
85,171.2073535983065,342.414707196613,342.414707196613
86,167.74161769550676,335.4832353910135,335.4832353910135
87,165.66217615382692,331.32435230765384,331.32435230765384
88,162.88958743158713,325.77917486317426,325.77917486317426
89,160.11699870934737,320.23399741869474,320.23399741869474
90,169.12791205662666,338.2558241132533,338.2558241132533
91,167.0484705149468,334.0969410298936,334.0969410298936
92,168.4347648760667,336.8695297521334,336.8695297521334
93,171.2073535983065,342.414707196613,342.414707196613
94,170.51420641774655,341.0284128354931,341.0284128354931
95,147.64034945926835,295.2806989185367,295.2806989185367
96,169.8210592371866,339.6421184743732,339.6421184743732
97,168.4347648760667,336.8695297521334,336.8695297521334
98,168.4347648760667,336.8695297521334,336.8695297521334
99,172.59364795942636,345.1872959188527,345.1872959188527
100,168.4347648760667,336.8695297521334,336.8695297521334
101,172.59364795942636,345.1872959188527,345.1872959188527
102,164.96902897326697,329.93805794653395,329.93805794653395
103,167.0484705149468,334.0969410298936,334.0969410298936
104,164.27588179270703,328.55176358541405,328.55176358541405
105,167.0484705149468,334.0969410298936,334.0969410298936
106,164.96902897326697,329.93805794653395,329.93805794653395
