LeSaS1	Code = 26	
SubNo	Group(1=OptHighReward;2=OptLowReward)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	OutcomeCond(0=inaccurate;1=lowReward;2=highReward)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
26	2	1	0	2	1	34	37	2	4	4	2	1	NaN	0	0	9486	0	NaN
26	2	2	0	1	1	21	8	5	2	5	1	1	NaN	0	0	22166	0	2
26	2	3	0	1	2	32	44	5	4	5	1	1	NaN	0	0	5678	0	1
26	2	4	0	2	1	5	30	4	2	4	1	1	NaN	0	0	6487	1	1
26	2	5	0	2	2	36	17	4	3	3	2	1	NaN	0	0	5186	0	2
26	2	6	0	2	3	14	29	5	3	5	1	1	NaN	0	0	4816	1	2
26	2	7	0	2	4	10	54	2	3	2	1	1	NaN	0	0	2844	1	1
26	2	8	0	2	5	52	48	3	4	3	1	1	NaN	0	0	4257	1	1
26	2	9	0	2	6	46	30	2	3	2	1	1	NaN	0	0	4236	1	1
26	2	10	0	1	1	17	10	5	3	5	1	1	NaN	0	0	5119	0	1
26	2	1	1	2	1	14	6	4	3	3	2	1	2	7.400000e-01	7.400000e-01	5765	0	NaN
26	2	2	1	1	1	26	53	2	3	2	1	1	2	8.200000e-01	1.560000e+00	2212	0	2
26	2	3	1	1	2	6	41	5	4	5	1	1	2	7.100000e-01	2.270000e+00	4328	0	1
26	2	4	1	2	1	45	24	5	2	5	1	1	1	2.500000e-01	2.520000e+00	5776	1	1
26	2	5	1	2	2	24	29	4	2	4	1	1	1	3.200000e-01	2.840000e+00	2255	1	1
26	2	6	1	2	3	22	4	2	4	3	0	0	0	0	2.840000e+00	1810	NaN	NaN
26	2	7	1	2	4	25	29	3	2	3	1	1	1	4.000000e-02	2.880000e+00	3187	1	NaN
26	2	8	1	2	5	45	33	5	4	5	1	1	1	3.900000e-01	3.270000e+00	1305	1	1
26	2	9	1	2	6	46	33	5	2	5	1	1	1	3.500000e-01	3.620000e+00	2018	1	1
26	2	10	1	1	1	25	44	3	5	3	1	1	2	6.000000e-01	4.220000e+00	3894	0	1
26	2	11	1	2	1	41	2	3	5	3	1	1	1	2.600000e-01	4.480000e+00	2785	1	1
26	2	12	1	2	2	6	19	5	3	3	2	1	2	5.400000e-01	5.020000e+00	3759	0	2
26	2	13	1	2	3	5	37	4	3	3	2	1	2	6.600000e-01	5.680000e+00	2086	0	1
26	2	14	1	2	4	39	13	2	4	4	2	1	2	7.100000e-01	6.390000e+00	2880	0	1
26	2	15	1	2	5	10	45	2	5	2	1	1	1	2.900000e-01	6.680000e+00	8082	1	2
26	2	16	1	1	1	18	48	4	5	5	2	1	1	2.700000e-01	6.950000e+00	2428	1	2
26	2	17	1	1	2	7	54	5	2	2	2	1	1	3.300000e-01	7.280000e+00	5817	1	1
26	2	18	1	1	3	38	5	2	4	4	2	1	1	3.100000e-01	7.590000e+00	3709	1	1
26	2	19	1	2	1	16	4	4	5	4	1	1	1	2.200000e-01	7.810000e+00	4807	1	2
26	2	20	1	2	2	6	11	4	5	4	1	1	1	4.900000e-01	8.300000e+00	2628	1	1
26	2	21	1	2	3	8	6	5	2	2	2	1	2	7.200000e-01	9.020000e+00	3385	0	2
26	2	22	1	2	4	10	7	5	3	5	1	1	1	4.800000e-01	9.500000e+00	1310	1	2
26	2	23	1	1	1	4	9	3	5	5	2	1	1	2.700000e-01	9.770000e+00	1704	1	2
26	2	24	1	1	2	13	19	5	4	4	2	1	1	2.000000e-01	9.970000e+00	1769	1	1
26	2	25	1	1	3	49	7	5	3	5	1	1	2	7.600000e-01	1.073000e+01	3632	0	2
26	2	26	1	1	4	38	26	4	5	5	2	1	1	3.400000e-01	1.107000e+01	4524	1	2
26	2	27	1	1	5	34	47	3	5	3	1	1	2	5.800000e-01	1.165000e+01	4076	0	2
26	2	28	1	2	1	10	6	4	3	4	1	1	1	3.200000e-01	1.197000e+01	1607	1	1
26	2	29	1	2	2	42	9	5	3	5	1	1	1	1.000000e-01	1.207000e+01	1661	1	1
26	2	30	1	1	1	36	17	2	5	5	2	1	1	4.600000e-01	1.253000e+01	4032	1	2
26	2	31	1	1	2	45	30	2	5	5	2	1	1	2.200000e-01	1.275000e+01	3252	1	1
26	2	32	1	1	3	8	16	3	4	4	2	1	1	2.500000e-01	13	3263	1	1
26	2	33	1	1	4	35	37	2	3	2	1	1	2	8.200000e-01	1.382000e+01	3057	0	2
26	2	34	1	1	5	9	54	4	2	2	2	1	1	2.300000e-01	1.405000e+01	2029	1	2
26	2	35	1	1	6	13	45	2	4	4	2	1	1	2.800000e-01	1.433000e+01	3184	1	1
26	2	36	1	2	1	9	44	2	4	2	1	1	1	2.700000e-01	1.460000e+01	2109	1	2
26	2	37	1	2	2	13	10	3	2	3	1	1	1	5.200000e-01	1.512000e+01	1351	1	1
26	2	38	1	2	3	36	26	3	5	3	1	1	1	3.400000e-01	1.546000e+01	3622	1	1
26	2	39	1	1	1	24	19	3	4	4	2	1	1	2.100000e-01	1.567000e+01	2915	1	2
26	2	40	1	1	2	37	15	2	3	3	2	1	1	2.000000e-01	1.587000e+01	3588	1	1
26	2	41	1	1	3	34	32	4	3	3	2	1	1	5.400000e-01	1.641000e+01	2842	1	1
26	2	42	1	1	4	8	42	2	5	2	1	1	2	9.000000e-01	1.731000e+01	2830	0	2
26	2	43	1	2	1	18	54	4	2	2	2	1	2	8.600000e-01	1.817000e+01	4330	0	2
26	2	44	1	2	2	14	6	4	3	3	2	1	2	5.200000e-01	1.869000e+01	3210	0	1
26	2	45	1	1	1	33	29	2	3	2	1	1	2	6.400000e-01	1.933000e+01	2311	0	2
26	2	46	1	1	2	45	44	4	2	4	1	1	2	6.400000e-01	1.997000e+01	4632	0	1
26	2	47	1	1	3	5	31	2	4	2	1	1	2	7.000000e-01	2.067000e+01	4452	0	1
26	2	48	1	1	4	32	48	3	4	3	1	1	2	6.000000e-01	2.127000e+01	3280	0	1
26	2	49	1	2	1	5	4	3	4	4	2	1	2	5.500000e-01	2.182000e+01	4178	0	2
26	2	50	1	2	2	11	17	4	2	2	2	1	2	6.100000e-01	2.243000e+01	1248	0	1
26	2	51	1	2	3	2	37	5	3	3	2	1	2	7.900000e-01	2.322000e+01	4676	0	1
26	2	52	1	2	4	19	28	5	4	4	2	1	2	9.500000e-01	2.417000e+01	6054	0	1
26	2	53	1	1	1	51	23	5	2	5	1	1	2	6.900000e-01	2.486000e+01	2097	0	2
26	2	54	1	1	2	7	18	4	2	4	1	1	2	6.400000e-01	2.550000e+01	2195	0	1
26	2	55	1	1	3	24	18	5	2	5	1	1	2	7.500000e-01	2.625000e+01	3177	0	1
26	2	56	1	1	4	37	26	2	5	2	1	1	2	6.100000e-01	2.686000e+01	2584	0	1
26	2	57	1	1	5	19	35	2	5	2	1	1	2	8.900000e-01	2.775000e+01	1797	0	1
26	2	58	1	1	6	30	32	5	4	5	1	1	2	8.000000e-01	2.855000e+01	3227	0	1
26	2	59	1	2	1	43	33	2	4	4	2	1	2	5.200000e-01	2.907000e+01	4240	0	2
26	2	60	1	2	2	41	8	3	2	2	2	1	2	5.900000e-01	2.966000e+01	2323	0	1
26	2	61	1	2	3	9	25	3	2	2	2	1	2	8.200000e-01	3.048000e+01	2189	0	1
26	2	62	1	1	1	51	22	5	3	5	1	1	2	7.100000e-01	3.119000e+01	4138	0	2
26	2	63	1	2	1	42	50	3	2	2	2	1	2	7.100000e-01	3.190000e+01	1938	0	2
