LeSaS1	Code = 70	
SubNo	Group(1=OptHighReward;2=OptLowReward)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	OutcomeCond(0=inaccurate;1=lowReward;2=highReward)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
70	2	1	0	2	1	24	17	3	4	3	1	1	NaN	0	0	7969	1	NaN
70	2	2	0	2	2	53	45	5	2	2	2	1	NaN	0	0	8060	0	2
70	2	3	0	1	1	47	37	2	5	2	1	1	NaN	0	0	9754	0	2
70	2	4	0	2	1	19	51	2	4	2	1	1	NaN	0	0	4950	1	1
70	2	5	0	2	2	11	34	2	5	2	1	1	NaN	0	0	4195	1	1
70	2	6	0	2	3	27	6	5	2	5	1	1	NaN	0	0	1934	1	1
70	2	7	0	1	1	52	26	5	4	5	1	1	NaN	0	0	2113	0	1
70	2	8	0	1	2	50	13	2	3	2	1	1	NaN	0	0	975	0	1
70	2	9	0	1	3	9	44	4	2	2	2	1	NaN	0	0	2881	1	2
70	2	10	0	1	4	6	19	4	5	4	1	1	NaN	0	0	5711	0	2
70	2	1	1	2	1	11	45	3	4	3	1	1	1	2.800000e-01	2.800000e-01	4119	1	NaN
70	2	2	1	2	2	20	33	3	5	3	1	1	1	1.400000e-01	4.200000e-01	3272	1	1
70	2	3	1	1	1	15	3	4	3	4	1	1	2	6.800000e-01	1.100000e+00	5310	0	1
70	2	4	1	2	1	48	25	5	4	5	1	1	1	3.700000e-01	1.470000e+00	1820	1	1
70	2	5	1	2	2	22	30	2	3	2	1	1	1	2.000000e-01	1.670000e+00	1899	1	1
70	2	6	1	2	3	50	41	4	5	5	2	1	2	8.100000e-01	2.480000e+00	6106	0	2
70	2	7	1	1	1	44	14	4	5	4	1	1	2	8.100000e-01	3.290000e+00	1527	0	2
70	2	8	1	1	2	44	47	2	4	4	2	1	1	3.300000e-01	3.620000e+00	1895	1	2
70	2	9	1	1	3	25	15	3	5	4	0	0	0	0	3.620000e+00	9827	NaN	NaN
70	2	10	1	1	4	40	2	2	5	5	2	1	1	3.700000e-01	3.990000e+00	4145	1	NaN
70	2	11	1	1	5	18	33	4	3	3	2	1	1	3.500000e-01	4.340000e+00	2086	1	1
70	2	12	1	1	6	10	30	5	4	5	1	1	2	6.500000e-01	4.990000e+00	5087	0	2
