LeSaS1	Code = 52	
SubNo	Group(1=OptHighReward;2=OptLowReward)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	OutcomeCond(0=inaccurate;1=lowReward;2=highReward)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
52	2	1	0	2	1	15	29	5	4	2	0	0	NaN	0	0	3840	NaN	NaN
52	2	2	0	2	2	35	4	5	2	2	2	1	NaN	0	0	2254	0	NaN
52	2	3	0	2	3	45	54	4	5	5	2	1	NaN	0	0	8049	0	1
52	2	4	0	2	4	31	38	4	2	2	2	1	NaN	0	0	5260	0	1
52	2	5	0	2	5	16	10	3	5	3	1	1	NaN	0	0	4736	1	2
52	2	6	0	1	1	39	48	2	4	2	1	1	NaN	0	0	3520	0	1
52	2	7	0	1	2	16	11	2	3	3	2	1	NaN	0	0	3872	1	2
52	2	8	0	2	1	47	33	4	3	3	2	1	NaN	0	0	2987	0	1
52	2	9	0	2	2	1	35	3	5	3	1	1	NaN	0	0	10969	1	2
52	2	10	0	1	1	53	17	5	3	5	1	1	NaN	0	0	4216	0	1
52	2	1	1	2	1	8	49	4	3	4	1	1	1	2.800000e-01	2.800000e-01	2634	1	NaN
52	2	2	1	2	2	40	46	2	4	4	2	1	2	4.700000e-01	7.500000e-01	12098	0	2
52	2	3	1	2	3	1	12	3	5	3	1	1	1	3.500000e-01	1.100000e+00	1228	1	2
52	2	4	1	2	4	32	53	3	2	2	2	1	2	7.000000e-01	1.800000e+00	6471	0	2
52	2	5	1	2	5	47	53	2	3	3	2	1	2	5.300000e-01	2.330000e+00	2210	0	1
52	2	6	1	1	1	49	6	2	5	5	2	1	1	4.700000e-01	2.800000e+00	11110	1	1
52	2	7	1	1	2	30	4	5	4	5	1	1	2	8.100000e-01	3.610000e+00	6408	0	2
52	2	8	1	2	1	25	53	3	5	5	2	1	2	6.600000e-01	4.270000e+00	6213	0	2
52	2	9	1	2	2	48	46	5	2	5	1	1	1	3.700000e-01	4.640000e+00	4098	1	2
52	2	10	1	1	1	10	20	2	3	3	2	1	1	3.500000e-01	4.990000e+00	1979	1	2
52	2	11	1	2	1	9	32	5	3	3	2	1	2	6.500000e-01	5.640000e+00	2505	0	1
52	2	12	1	2	2	6	42	4	5	4	1	1	1	4.200000e-01	6.060000e+00	2147	1	2
52	2	13	1	2	3	28	31	2	3	4	0	0	0	0	6.060000e+00	4218	NaN	NaN
52	2	14	1	2	4	1	37	4	5	4	1	1	1	2.600000e-01	6.320000e+00	8620	1	NaN
52	2	15	1	1	1	42	11	2	3	3	2	1	1	5.900000e-01	6.910000e+00	2808	1	2
52	2	16	1	1	2	13	4	3	2	2	2	1	1	3.200000e-01	7.230000e+00	1366	1	1
52	2	17	1	1	3	53	2	2	4	4	2	1	1	3.500000e-01	7.580000e+00	1061	1	1
52	2	18	1	1	4	7	3	4	2	2	2	1	1	4.600000e-01	8.040000e+00	904	1	1
52	2	19	1	2	1	25	1	5	2	2	2	1	2	6.700000e-01	8.710000e+00	1313	0	1
52	2	20	1	2	2	26	16	5	3	5	1	1	1	3.200000e-01	9.030000e+00	3042	1	2
52	2	21	1	2	3	36	17	4	3	4	1	1	1	2.300000e-01	9.260000e+00	2918	1	1
52	2	22	1	2	4	44	34	2	3	2	1	1	1	3.700000e-01	9.630000e+00	2527	1	1
52	2	23	1	2	5	52	37	3	2	3	1	1	1	1.800000e-01	9.810000e+00	3839	1	1
52	2	24	1	2	6	7	14	4	3	4	1	1	1	4.200000e-01	1.023000e+01	3627	1	1
52	2	25	1	1	1	12	7	4	3	3	2	1	1	5.200000e-01	1.075000e+01	2760	1	2
52	2	26	1	1	2	33	42	4	3	3	2	1	1	2.500000e-01	1.100000e+01	1575	1	1
52	2	27	1	1	3	27	37	3	4	4	2	1	1	4.300000e-01	1.143000e+01	2350	1	1
52	2	28	1	2	1	39	37	2	4	2	1	1	1	4.800000e-01	1.191000e+01	1589	1	2
52	2	29	1	1	1	9	17	2	5	2	1	1	2	4.800000e-01	1.239000e+01	939	0	1
52	2	30	1	1	2	17	5	2	4	2	1	1	2	5.000000e-01	1.289000e+01	3667	0	1
52	2	31	1	1	3	25	50	5	2	2	2	1	1	4.000000e-01	1.329000e+01	3010	1	2
52	2	32	1	1	4	15	23	5	4	4	2	1	1	2.900000e-01	1.358000e+01	3224	1	1
52	2	33	1	1	5	27	33	5	4	4	2	1	1	4.100000e-01	1.399000e+01	3016	1	1
52	2	34	1	1	6	1	33	3	4	4	2	1	1	4.300000e-01	1.442000e+01	2876	1	1
52	2	35	1	2	1	34	24	3	4	3	1	1	1	4.200000e-01	1.484000e+01	4271	1	2
52	2	36	1	2	2	10	15	5	2	3	0	0	0	0	1.484000e+01	1538	NaN	NaN
52	2	37	1	2	3	40	35	5	4	5	1	1	1	4.900000e-01	1.533000e+01	4718	1	NaN
52	2	38	1	1	1	4	52	5	3	5	1	1	2	7.500000e-01	1.608000e+01	1879	0	1
52	2	39	1	1	2	7	34	3	2	2	2	1	1	4.700000e-01	1.655000e+01	2842	1	2
52	2	40	1	1	3	3	48	4	5	5	2	1	1	1.900000e-01	1.674000e+01	2462	1	1
52	2	41	1	1	4	4	19	5	3	5	1	1	2	6.600000e-01	1.740000e+01	2665	0	2
52	2	42	1	1	5	19	39	3	2	2	2	1	1	3.100000e-01	1.771000e+01	1972	1	2
52	2	43	1	2	1	11	30	2	5	5	2	1	2	4.800000e-01	1.819000e+01	3130	0	1
52	2	44	1	2	2	5	2	4	2	2	2	1	2	7.000000e-01	1.889000e+01	674	0	1
52	2	45	1	2	3	21	7	2	5	5	2	1	2	5.400000e-01	1.943000e+01	4589	0	1
52	2	46	1	2	4	38	34	4	2	4	1	1	1	5.000000e-01	1.993000e+01	2027	1	2
52	2	47	1	2	5	39	46	3	2	3	1	1	1	2.400000e-01	2.017000e+01	10400	1	1
52	2	48	1	2	6	31	33	4	3	3	2	1	2	7.300000e-01	2.090000e+01	6405	0	2
52	2	49	1	1	1	51	35	4	5	5	2	1	1	3.600000e-01	2.126000e+01	4186	1	1
52	2	50	1	1	2	50	3	2	4	4	2	1	1	2.200000e-01	2.148000e+01	6624	1	1
52	2	51	1	1	3	10	23	2	5	5	2	1	1	8.000000e-02	2.156000e+01	5765	1	1
52	2	52	1	1	4	10	27	5	4	5	1	1	2	6.600000e-01	2.222000e+01	1404	0	2
52	2	53	1	2	1	16	23	4	2	2	2	1	2	5.500000e-01	2.277000e+01	2041	0	2
52	2	54	1	2	2	37	10	4	2	2	2	1	2	7.400000e-01	2.351000e+01	2149	0	1
52	2	55	1	2	3	37	47	3	4	4	2	1	2	7.300000e-01	2.424000e+01	9276	0	1
52	2	56	1	2	4	22	2	5	3	3	2	1	2	8.700000e-01	2.511000e+01	4775	0	1
52	2	57	1	1	1	3	48	3	5	5	2	1	1	4.000000e-01	2.551000e+01	5485	1	1
52	2	58	1	2	1	9	48	2	5	5	2	1	2	5.900000e-01	2.610000e+01	2952	0	1
52	2	59	1	2	2	5	52	3	4	3	1	1	1	3.800000e-01	2.648000e+01	3879	1	2
52	2	60	1	1	1	7	36	4	5	5	2	1	1	2.100000e-01	2.669000e+01	6321	1	2
52	2	61	1	1	2	18	7	4	2	4	1	1	2	6.600000e-01	2.735000e+01	6250	0	2
52	2	62	1	1	3	9	49	4	5	4	1	1	2	6.600000e-01	2.801000e+01	1461	0	1
52	2	63	1	1	4	2	30	2	3	3	2	1	1	3.300000e-01	2.834000e+01	2624	1	2
52	2	64	1	1	5	2	9	5	3	3	2	1	1	3.000000e-01	2.864000e+01	701	1	1
52	2	65	1	1	6	41	52	2	4	2	1	1	2	8.000000e-01	2.944000e+01	2918	0	2
52	2	66	1	2	1	38	46	3	5	5	2	1	2	4.500000e-01	2.989000e+01	4255	0	2
52	2	67	1	2	2	31	47	2	5	2	1	1	1	3.800000e-01	3.027000e+01	4130	1	2
52	2	68	1	2	3	8	43	2	3	2	1	1	1	4.400000e-01	3.071000e+01	1258	1	1
52	2	69	1	2	4	53	22	3	5	5	2	1	2	7.500000e-01	3.146000e+01	1645	0	2
52	2	70	1	2	5	12	35	4	2	2	2	1	2	7.400000e-01	3.220000e+01	3689	0	1
52	2	71	1	1	1	17	35	5	2	5	1	1	2	6.700000e-01	3.287000e+01	4563	0	2
52	2	72	1	1	2	46	16	2	4	2	1	1	2	7.500000e-01	3.362000e+01	1906	0	1
52	2	73	1	2	1	30	20	3	4	4	2	1	2	7.300000e-01	3.435000e+01	2835	0	2
52	2	74	1	1	1	17	34	4	5	5	2	1	1	3.000000e-01	3.465000e+01	9495	1	1
52	2	75	1	1	2	40	54	4	3	4	1	1	2	6.200000e-01	3.527000e+01	3081	0	2
52	2	76	1	1	3	43	38	3	5	3	1	1	2	6.300000e-01	3.590000e+01	6851	0	1
52	2	77	1	1	4	15	24	5	4	4	2	1	1	1.600000e-01	3.606000e+01	7895	1	2
52	2	78	1	1	5	16	26	5	4	4	2	1	1	3.100000e-01	3.637000e+01	2465	1	1
52	2	79	1	2	1	36	7	3	4	4	2	1	2	6.800000e-01	3.705000e+01	1212	0	1
52	2	80	1	2	2	37	41	3	2	3	1	1	1	3.700000e-01	3.742000e+01	5521	1	2
52	2	81	1	2	3	21	34	5	2	5	1	1	1	5.000000e-01	3.792000e+01	2457	1	1
52	2	82	1	1	1	12	42	3	5	3	1	1	2	6.300000e-01	3.855000e+01	2069	0	1
52	2	83	1	1	2	47	5	5	3	3	2	1	1	4.100000e-01	3.896000e+01	3031	1	2
52	2	84	1	1	3	13	8	5	2	5	1	1	2	7.600000e-01	3.972000e+01	1643	0	2
52	2	1	2	2	1	34	15	3	5	3	1	1	1	4.400000e-01	4.016000e+01	3660	1	NaN
52	2	2	2	2	2	48	25	2	4	4	2	1	2	5.500000e-01	4.071000e+01	4624	0	2
52	2	3	2	2	3	10	29	3	4	3	1	1	1	3.600000e-01	4.107000e+01	1820	1	2
52	2	4	2	2	4	45	37	2	3	2	1	1	1	3.600000e-01	4.143000e+01	12153	1	1
52	2	5	2	2	5	14	30	2	4	2	1	1	1	2.100000e-01	4.164000e+01	2736	1	1
52	2	6	2	1	1	34	45	5	2	2	2	1	1	2.500000e-01	4.189000e+01	4632	1	2
52	2	7	2	1	2	23	50	2	5	2	1	1	2	7.900000e-01	4.268000e+01	1268	0	2
52	2	8	2	1	3	34	13	5	2	2	2	1	1	3.200000e-01	4.300000e+01	3014	1	2
52	2	9	2	1	4	52	42	5	4	4	2	1	1	3.800000e-01	4.338000e+01	2579	1	1
52	2	10	2	1	5	48	45	2	4	2	1	1	2	6.800000e-01	4.406000e+01	9202	0	2
52	2	11	2	2	1	16	3	2	3	4	0	0	0	0	4.406000e+01	951	NaN	NaN
52	2	12	2	2	2	50	48	5	2	2	2	1	2	5.900000e-01	4.465000e+01	1826	0	NaN
52	2	13	2	2	3	53	27	3	2	2	2	1	2	6.000000e-01	4.525000e+01	4326	0	1
52	2	14	2	2	4	20	16	4	3	4	1	1	1	3.900000e-01	4.564000e+01	3919	1	2
52	2	15	2	1	1	33	51	5	2	2	2	1	1	2.200000e-01	4.586000e+01	1080	1	2
52	2	16	2	2	1	8	27	5	2	5	1	1	1	4.300000e-01	4.629000e+01	3442	1	2
52	2	17	2	2	2	47	1	2	5	5	2	1	2	7.300000e-01	4.702000e+01	1790	0	2
52	2	18	2	2	3	41	14	3	5	5	2	1	2	5.700000e-01	4.759000e+01	1508	0	1
52	2	19	2	1	1	5	8	5	2	2	2	1	1	3.000000e-01	4.789000e+01	2964	1	1
52	2	20	2	1	2	19	29	5	3	3	2	1	1	1.900000e-01	4.808000e+01	1179	1	1
52	2	21	2	2	1	52	12	4	3	3	2	1	2	4.100000e-01	4.849000e+01	9482	0	1
52	2	22	2	2	2	42	17	4	2	4	1	1	1	4.500000e-01	4.894000e+01	2067	1	2
52	2	23	2	2	3	1	22	5	3	5	1	1	1	2.700000e-01	4.921000e+01	3853	1	1
52	2	24	2	2	4	35	51	4	2	2	2	1	2	7.100000e-01	4.992000e+01	3768	0	2
52	2	25	2	2	5	16	31	2	3	3	2	1	2	6.900000e-01	5.061000e+01	6111	0	1
52	2	26	2	2	6	5	12	2	4	2	1	1	1	3.400000e-01	5.095000e+01	2920	1	2
52	2	27	2	1	1	20	50	3	5	3	1	1	2	5.500000e-01	5.150000e+01	2209	0	1
52	2	28	2	1	2	7	19	2	5	5	2	1	1	2.200000e-01	5.172000e+01	2991	1	2
52	2	29	2	1	3	25	53	3	5	3	1	1	2	6.200000e-01	5.234000e+01	2996	0	2
52	2	30	2	1	4	37	14	2	5	2	1	1	2	5.300000e-01	5.287000e+01	4306	0	1
52	2	31	2	2	1	9	15	3	4	4	2	1	2	5.400000e-01	5.341000e+01	2571	0	2
52	2	32	2	2	2	37	6	2	5	5	2	1	2	8.400000e-01	5.425000e+01	2354	0	1
52	2	33	2	1	1	38	47	3	2	3	1	1	2	6.700000e-01	5.492000e+01	2465	0	2
52	2	34	2	1	2	29	27	4	5	5	2	1	1	1.900000e-01	5.511000e+01	4212	1	2
52	2	35	2	1	3	51	13	5	4	5	1	1	2	6.600000e-01	5.577000e+01	6433	0	2
52	2	36	2	1	4	4	23	3	4	4	2	1	1	2.000000e-01	5.597000e+01	3213	1	2
52	2	37	2	1	5	39	52	5	2	2	2	1	1	1.700000e-01	5.614000e+01	2602	1	1
52	2	38	2	1	6	7	14	2	3	3	2	1	1	3.000000e-01	5.644000e+01	3063	1	1
52	2	39	2	2	1	19	14	4	3	4	1	1	1	4.500000e-01	5.689000e+01	2898	1	2
52	2	40	2	1	1	25	31	5	3	5	1	1	2	6.800000e-01	5.757000e+01	1443	0	1
52	2	41	2	1	2	18	13	4	5	5	2	1	1	4.100000e-01	5.798000e+01	2471	1	2
52	2	42	2	1	3	5	51	4	2	4	1	1	2	5.300000e-01	5.851000e+01	1378	0	2
52	2	43	2	2	1	2	25	4	3	3	2	1	2	6.100000e-01	5.912000e+01	3416	0	2
52	2	44	2	2	2	40	16	3	2	2	2	1	2	6.400000e-01	5.976000e+01	4229	0	1
52	2	45	2	2	3	39	47	2	3	3	2	1	2	5.200000e-01	6.028000e+01	2417	0	1
52	2	46	2	2	4	12	18	3	2	2	2	1	2	5.100000e-01	6.079000e+01	3670	0	1
52	2	47	2	2	5	7	47	2	5	5	2	1	2	7.800000e-01	6.157000e+01	4185	0	1
52	2	48	2	2	6	25	16	2	3	3	2	1	2	6.700000e-01	6.224000e+01	5583	0	1
52	2	49	2	1	1	53	36	5	4	4	2	1	1	2.600000e-01	6.250000e+01	1805	1	1
52	2	50	2	1	2	4	12	2	4	4	2	1	1	4.300000e-01	6.293000e+01	746	1	1
52	2	51	2	1	3	48	25	5	4	5	1	1	2	6.900000e-01	6.362000e+01	3953	0	2
52	2	52	2	1	4	50	9	5	3	3	2	1	1	2.200000e-01	6.384000e+01	6905	1	2
52	2	53	2	1	5	14	21	5	4	4	2	1	1	4.900000e-01	6.433000e+01	2474	1	1
52	2	54	2	2	1	42	7	4	3	3	2	1	2	7.000000e-01	6.503000e+01	1501	0	1
52	2	55	2	1	1	25	23	4	2	2	2	1	1	5.100000e-01	6.554000e+01	1118	1	1
52	2	56	2	2	1	41	37	3	5	5	2	1	2	8.000000e-01	6.634000e+01	5679	0	1
52	2	57	2	2	2	49	6	5	3	3	2	1	2	5.900000e-01	6.693000e+01	2690	0	1
52	2	58	2	2	3	40	12	5	3	3	2	1	2	5.100000e-01	6.744000e+01	5987	0	1
