participant_id,delta,delta_RPUT,decay,decay_RPUT,RT_delta,RT_decay,max_weight_model,max_weight,Best_Model,model_match
1,0.2527416247919468,0.0003302896522265172,0.5540546762894747,0.16475132708117324,0.026800782815569666,0.001321299369609026,decay,0.5540546762894747,decay,True
2,1.6857518403294526e-41,3.025007572281981e-55,0.9222189591643608,0.0583564381584284,1.6198413218372492e-40,0.019424602677210745,decay,0.9222189591643608,decay,True
3,0.07141290478286379,0.07136779985216757,0.3433873190370292,0.3244826134310136,0.011488950858328595,0.17786041203859723,decay,0.3433873190370292,decay,True
4,0.14661614385496202,0.11947900816656475,0.29233868271789404,0.42835261165126703,0.0036715229606613157,0.009542030648650812,decay_RPUT,0.42835261165126703,decay_RPUT,True
5,0.21359339408705713,0.22707005899784652,0.22314657084764752,0.2863136737588901,0.01733937373052877,0.03253692857802984,decay_RPUT,0.2863136737588901,decay_RPUT,True
6,0.01111757096784335,0.5946818256277209,0.1719924995609113,0.21521885558709292,0.004136399486919472,0.002852848769511993,delta_RPUT,0.5946818256277209,delta_RPUT,True
7,0.5415480178983766,0.011603517547976734,0.26315362006619747,0.1696545744339731,0.009753524616327757,0.00428674543714829,delta,0.5415480178983766,delta,True
8,0.04035488404527104,0.04035492431499533,0.10277782532604121,0.13667261864464997,0.007225815155140094,0.6726139325139023,RT_decay,0.6726139325139023,RT_decay,True
9,0.10273823837506539,0.1027383199217251,0.11270507033256863,0.10676133980995654,0.42370519097797227,0.15135184058271217,RT_delta,0.42370519097797227,RT_delta,True
10,0.00012696181690377992,0.00011524360847601895,0.42034151950622,0.15650525009029173,7.234327160667891e-06,0.42290379065094774,RT_decay,0.42290379065094774,RT_decay,True
11,0.55892934891846,0.0012720838884085278,0.22149707309597544,0.20812695982975393,0.008935706545673761,0.001238827721728465,delta,0.55892934891846,delta,True
12,4.299858712721203e-09,5.743283247679036e-09,0.07963807474222623,0.16987220561815347,5.77951470255205e-10,0.750489709018527,RT_decay,0.750489709018527,RT_decay,True
13,0.17696929075539533,0.4007576371839015,0.1405018835452845,0.2531524097605685,0.025517981372378238,0.0031007973824718218,delta_RPUT,0.4007576371839015,delta_RPUT,True
14,0.003042738157440639,5.028481865794849e-09,0.561594338619485,0.429143066027566,0.0030570706486394475,0.003162781518386996,decay,0.561594338619485,decay,True
15,0.025414884537407693,0.025414907111947282,0.027311974496793342,0.03725972338142569,0.006700225052893686,0.8778982854195324,RT_decay,0.8778982854195324,RT_decay,True
