LeSaS1	Code = 81	
SubNo	Group(1=OptHighReward;2=OptLowReward)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	OutcomeCond(0=inaccurate;1=lowReward;2=highReward)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
81	1	1	0	2	1	48	34	5	4	4	2	1	NaN	0	0	23988	0	NaN
81	1	2	0	2	2	24	21	3	5	3	1	1	NaN	0	0	2731	1	2
81	1	3	0	2	3	28	36	5	3	3	2	1	NaN	0	0	3992	0	2
81	1	4	0	2	4	16	22	5	4	4	2	1	NaN	0	0	3045	0	1
81	1	5	0	2	5	11	41	2	4	4	2	1	NaN	0	0	2928	0	1
81	1	6	0	1	1	9	45	3	2	2	2	1	NaN	0	0	3004	1	1
81	1	7	0	1	2	16	18	2	4	2	1	1	NaN	0	0	2632	0	2
81	1	8	0	1	3	24	43	2	5	2	1	1	NaN	0	0	2687	0	1
81	1	9	0	2	1	28	17	5	2	2	2	1	NaN	0	0	2913	0	2
81	1	10	0	2	2	48	13	4	5	4	1	1	NaN	0	0	5765	1	2
81	1	1	1	2	1	48	6	5	4	4	2	1	1	2.800000e-01	2.800000e-01	1562	0	NaN
81	1	2	1	2	2	22	2	4	2	2	2	1	1	1.400000e-01	4.200000e-01	1079	0	1
81	1	3	1	2	3	14	32	5	2	2	2	1	1	3.500000e-01	7.700000e-01	2794	0	1
81	1	4	1	2	4	10	23	5	3	3	2	1	1	3.700000e-01	1.140000e+00	1997	0	1
81	1	5	1	2	5	41	36	2	5	5	2	1	1	2.000000e-01	1.340000e+00	3181	0	1
81	1	6	1	1	1	36	45	3	2	2	2	1	2	8.100000e-01	2.150000e+00	1354	1	1
81	1	7	1	1	2	15	51	5	4	4	2	1	2	8.100000e-01	2.960000e+00	935	1	1
81	1	8	1	1	3	6	22	4	5	5	2	1	2	6.600000e-01	3.620000e+00	1175	1	1
81	1	9	1	2	1	21	50	2	3	4	0	0	0	0	3.620000e+00	1927	NaN	NaN
81	1	10	1	2	2	33	32	4	2	2	2	1	1	3.700000e-01	3.990000e+00	2332	0	NaN
81	1	11	1	2	3	39	46	5	4	5	1	1	2	6.900000e-01	4.680000e+00	2343	1	2
81	1	12	1	1	1	35	32	5	2	5	1	1	1	3.100000e-01	4.990000e+00	4117	0	1
81	1	13	1	1	2	32	16	5	4	5	1	1	1	4.200000e-01	5.410000e+00	3325	0	1
81	1	14	1	1	3	12	16	2	4	2	1	1	1	2.600000e-01	5.670000e+00	611	0	1
81	1	15	1	1	4	42	45	3	4	4	2	1	2	9.200000e-01	6.590000e+00	1547	1	2
81	1	16	1	1	5	23	49	2	5	2	1	1	1	3.200000e-01	6.910000e+00	2494	0	2
81	1	17	1	2	1	26	30	3	2	2	2	1	1	3.500000e-01	7.260000e+00	941	0	2
81	1	18	1	2	2	33	41	4	5	5	2	1	1	4.600000e-01	7.720000e+00	1752	0	1
81	1	19	1	2	3	3	38	4	2	2	2	1	1	3.400000e-01	8.060000e+00	1222	0	1
81	1	20	1	2	4	52	32	3	4	3	1	1	2	6.600000e-01	8.720000e+00	1023	1	2
81	1	21	1	2	5	10	32	2	4	4	2	1	1	2.300000e-01	8.950000e+00	5951	0	2
81	1	22	1	2	6	50	47	3	5	3	1	1	2	7.000000e-01	9.650000e+00	4197	1	2
81	1	23	1	1	1	13	39	2	5	5	2	1	2	5.100000e-01	1.016000e+01	1733	1	2
81	1	24	1	1	2	28	42	3	4	4	2	1	2	7.500000e-01	1.091000e+01	1727	1	1
81	1	25	1	2	1	32	12	4	3	3	2	1	1	5.200000e-01	1.143000e+01	1397	0	1
81	1	26	1	2	2	18	23	4	5	5	2	1	1	2.500000e-01	1.168000e+01	1166	0	1
81	1	27	1	1	1	33	15	4	3	4	1	1	1	4.300000e-01	1.211000e+01	1927	0	2
81	1	28	1	2	1	33	47	3	2	2	2	1	1	4.800000e-01	1.259000e+01	1678	0	2
81	1	29	1	2	2	31	22	2	5	2	1	1	2	4.800000e-01	1.307000e+01	1910	1	2
81	1	30	1	2	3	17	18	2	4	4	2	1	1	1.600000e-01	1.323000e+01	5533	0	2
81	1	31	1	2	4	28	3	3	5	3	1	1	2	7.300000e-01	1.396000e+01	1582	1	2
81	1	32	1	1	1	8	18	4	3	3	2	1	2	6.200000e-01	1.458000e+01	1966	1	2
81	1	33	1	1	2	16	23	2	4	2	1	1	1	4.100000e-01	1.499000e+01	2502	0	2
81	1	34	1	1	3	1	36	5	2	5	1	1	1	4.300000e-01	1.542000e+01	1495	0	1
81	1	35	1	1	4	54	42	2	3	2	1	1	1	4.200000e-01	1.584000e+01	1852	0	1
81	1	36	1	2	1	35	34	3	5	5	2	1	1	4.900000e-01	1.633000e+01	4984	0	2
81	1	37	1	1	1	41	17	3	4	3	1	1	1	4.100000e-01	1.674000e+01	1462	0	2
81	1	38	1	1	2	42	22	3	5	5	2	1	2	8.100000e-01	1.755000e+01	1750	1	2
81	1	39	1	1	3	18	6	4	2	2	2	1	2	5.300000e-01	1.808000e+01	924	1	1
81	1	40	1	1	4	35	3	4	5	5	2	1	2	6.600000e-01	1.874000e+01	3831	1	1
81	1	41	1	1	5	30	4	3	2	2	2	1	2	6.500000e-01	1.939000e+01	908	1	1
81	1	42	1	1	6	35	8	5	3	3	2	1	2	4.800000e-01	1.987000e+01	2396	1	1
81	1	43	1	2	1	17	31	3	2	2	2	1	1	3.600000e-01	2.023000e+01	2528	0	1
81	1	44	1	2	2	14	28	5	4	4	2	1	1	2.100000e-01	2.044000e+01	1073	0	1
81	1	45	1	1	1	3	41	4	5	4	1	1	1	5.000000e-01	2.094000e+01	847	0	2
81	1	46	1	1	2	31	6	5	3	3	2	1	2	5.700000e-01	2.151000e+01	1316	1	2
81	1	47	1	2	1	43	11	4	3	3	2	1	1	4.000000e-01	2.191000e+01	925	0	1
81	1	48	1	2	2	30	33	3	4	4	2	1	1	3.600000e-01	2.227000e+01	2195	0	1
81	1	49	1	2	3	33	29	5	3	3	2	1	1	2.200000e-01	2.249000e+01	919	0	1
81	1	50	1	2	4	49	20	2	3	3	2	1	1	8.000000e-02	2.257000e+01	1273	0	1
81	1	51	1	1	1	33	19	3	2	3	1	1	1	3.300000e-01	2.290000e+01	2323	0	2
81	1	52	1	1	2	6	54	2	3	2	1	1	1	2.100000e-01	2.311000e+01	1559	0	1
81	1	53	1	1	3	17	16	4	3	3	2	1	2	7.400000e-01	2.385000e+01	1575	1	2
81	1	54	1	1	4	10	1	5	3	3	2	1	2	7.300000e-01	2.458000e+01	1875	1	1
81	1	55	1	1	5	35	29	2	3	3	2	1	2	8.700000e-01	2.545000e+01	1232	1	1
81	1	56	1	2	1	24	20	2	4	2	1	1	2	7.400000e-01	2.619000e+01	1708	1	2
81	1	57	1	1	1	42	54	2	4	4	2	1	2	5.900000e-01	2.678000e+01	2155	1	2
81	1	58	1	2	1	45	30	4	2	2	2	1	1	3.800000e-01	2.716000e+01	611	0	1
81	1	59	1	2	2	49	17	3	2	3	1	1	2	5.500000e-01	2.771000e+01	2175	1	2
81	1	60	1	2	3	10	35	4	3	4	1	1	2	6.600000e-01	2.837000e+01	1118	1	1
81	1	61	1	2	4	13	43	5	2	5	1	1	2	6.600000e-01	2.903000e+01	2485	1	1
81	1	62	1	2	5	50	11	4	2	4	1	1	2	6.700000e-01	2.970000e+01	3495	1	1
81	1	63	1	1	1	23	40	5	3	3	2	1	2	6.300000e-01	3.033000e+01	2646	1	2
81	1	64	1	1	2	9	48	2	5	5	2	1	2	8.000000e-01	3.113000e+01	2771	1	1
81	1	65	1	1	3	1	2	2	3	2	1	1	1	1.100000e-01	3.124000e+01	1359	0	2
81	1	66	1	2	1	36	50	4	3	4	1	1	2	7.200000e-01	3.196000e+01	1758	1	1
81	1	67	1	2	2	31	37	5	3	5	1	1	2	7.700000e-01	3.273000e+01	1016	1	1
81	1	68	1	2	3	51	2	4	2	4	1	1	2	7.500000e-01	3.348000e+01	2807	1	1
81	1	69	1	2	4	34	46	2	5	2	1	1	2	7.400000e-01	3.422000e+01	1117	1	1
81	1	70	1	2	5	3	14	2	5	2	1	1	2	6.700000e-01	3.489000e+01	1625	1	1
81	1	71	1	2	6	44	45	4	5	4	1	1	2	7.500000e-01	3.564000e+01	1871	1	1
81	1	72	1	1	1	37	8	5	2	2	2	1	2	7.300000e-01	3.637000e+01	1629	1	2
81	1	73	1	1	2	21	29	4	5	5	2	1	2	6.400000e-01	3.701000e+01	1227	1	1
81	1	74	1	1	3	33	40	5	2	2	2	1	2	6.200000e-01	3.763000e+01	2903	1	1
81	1	75	1	1	4	21	52	5	4	4	2	1	2	6.300000e-01	3.826000e+01	959	1	1
81	1	76	1	2	1	44	23	3	4	3	1	1	2	4.900000e-01	3.875000e+01	1949	1	2
81	1	77	1	2	2	26	23	2	3	2	1	1	2	6.400000e-01	3.939000e+01	1319	1	1
81	1	78	1	2	3	28	17	3	5	3	1	1	2	6.800000e-01	4.007000e+01	1127	1	1
81	1	79	1	1	1	37	42	3	4	4	2	1	2	7.000000e-01	4.077000e+01	1727	1	2
81	1	80	1	1	2	4	6	3	5	5	2	1	2	8.400000e-01	4.161000e+01	1511	1	1
81	1	81	1	1	3	10	37	5	2	2	2	1	2	6.300000e-01	4.224000e+01	1646	1	1
81	1	82	1	1	4	7	36	2	4	4	2	1	2	7.400000e-01	4.298000e+01	2006	1	1
81	1	83	1	1	5	17	9	5	4	4	2	1	2	7.600000e-01	4.374000e+01	1583	1	1
81	1	84	1	1	6	30	19	3	5	5	2	1	2	7.800000e-01	4.452000e+01	1357	1	1
81	1	1	2	2	1	22	51	3	5	3	1	1	2	5.500000e-01	4.507000e+01	2982	1	NaN
81	1	2	2	2	2	51	5	4	3	4	1	1	2	6.900000e-01	4.576000e+01	1110	1	1
81	1	3	2	2	3	53	51	4	5	4	1	1	2	7.000000e-01	4.646000e+01	1119	1	1
81	1	4	2	1	1	42	18	3	5	5	2	1	2	5.500000e-01	4.701000e+01	1870	1	2
81	1	5	2	1	2	6	10	4	5	5	2	1	2	5.800000e-01	4.759000e+01	1175	1	1
81	1	6	2	1	3	4	27	2	3	3	2	1	2	7.900000e-01	4.838000e+01	917	1	1
81	1	7	2	1	4	15	34	3	2	2	2	1	2	6.500000e-01	4.903000e+01	2614	1	1
81	1	8	2	1	5	10	48	4	2	2	2	1	2	7.100000e-01	4.974000e+01	852	1	1
